category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Jun 2022,2.8941,0.0588,5.6353,3.6235
2 Jun 2022,0.1944,0.0278,0.3611,0.1806
3 Jun 2022,0.3448,0,0.4483,0.431
4 Jun 2022,0,0,0,0
5 Jun 2022,0.2703,0.0541,0.5405,0.1081
6 Jun 2022,1.4615,0.0385,2.4423,2.4231
7 Jun 2022,1.2963,0.0864,2.8148,1.2963
8 Jun 2022,1.4464,0,3.3929,0.8393
9 Jun 2022,0.0465,0,0.3023,0.0233
10 Jun 2022,5.0192,0.0385,7.0962,6.4615
11 Jun 2022,0.0455,0.0455,0.0455,0.0455
12 Jun 2022,0.434,0,0.9811,0.3585
13 Jun 2022,1.4634,0,3.378,1.1951
14 Jun 2022,5,0.0341,9.9773,6.1136
15 Jun 2022,3.9767,0.0698,9.4186,2.4419
16 Jun 2022,2.5155,0,5.0619,2.3711
17 Jun 2022,0,0,0,0
18 Jun 2022,0,0,0,0
19 Jun 2022,0,0,0,0
20 Jun 2022,0,0,0,0
21 Jun 2022,0,0,0,0
22 Jun 2022,0,0,0,0
23 Jun 2022,0,0,0,0
24 Jun 2022,0,0,0,0
25 Jun 2022,0,0,0,0
26 Jun 2022,0,0,0,0
27 Jun 2022,0,0,0,0
28 Jun 2022,0,0,0,0
29 Jun 2022,0,0,0,0
30 Jun 2022,0,0,0,0
