category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Apr 2022,29801.2857,4734.9143,54823.4,30245.3714
2 Apr 2022,30850.0526,4736.7368,57022.6842,31425.2105
3 Apr 2022,28897.8,4737.8,53542.9,29860.35
4 Apr 2022,28906.0294,4728.2941,53314.6765,29444.7941
5 Apr 2022,29298.4565,4654.3043,54177.2174,29840.8696
6 Apr 2022,31001.8519,4758,57300.2593,31667.5556
7 Apr 2022,30277.9535,4656.4651,56016.2093,30761.1395
8 Apr 2022,29899.5,4750.2308,55301.2692,30648.2692
9 Apr 2022,29621.8636,4558.8636,54592.3636,30247.1364
10 Apr 2022,30607.05,4758,56996.55,31162.85
11 Apr 2022,29581.7838,4747.0811,54507.6757,30371.2973
12 Apr 2022,28943.0725,4755.0725,53239.9565,29682.8116
13 Apr 2022,27786,4690.6667,51589.5,28019.1667
14 Apr 2022,29315.6596,4740.8085,54166.2979,29815.7872
15 Apr 2022,30423.7838,4747.0811,56411.6757,31021.2973
16 Apr 2022,28682.4,4758,53393.8,28995.4
17 Apr 2022,29703.5,4758,55132.1,30276.6
18 Apr 2022,29332.9756,4733.3659,54193.0732,29662.1951
19 Apr 2022,27919.8571,4683.8714,51448.3143,28280.5714
20 Apr 2022,29473.8889,4743.9722,54373.6111,29911.0833
21 Apr 2022,29783.9167,4753.7917,55028.8333,30281.3333
22 Apr 2022,29826.1471,4758,55109.4706,30415.3529
23 Apr 2022,28587,4758,54145.8571,29351
24 Apr 2022,28289.4063,4615.25,51702.375,29329.9375
25 Apr 2022,29080,4746.1176,53611.4235,29792.0235
26 Apr 2022,29437.4865,4758,54389.8649,30128.0541
27 Apr 2022,29760.0968,4758,54990.3226,30314.1935
28 Apr 2022,29781.7381,4748.381,55074.7857,30198.1429
29 Apr 2022,29310.6538,4758,54222.8654,29803.2692
30 Apr 2022,29649.5909,4730.4545,54548.3636,30029.4091
