category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Apr 2022,2221313.3143,916254.3429,2723169.4857,2389161.6571
2 Apr 2022,1155428.4211,494727.5789,1554206.2105,1195836.5789
3 Apr 2022,956315.4,621739,1168266.3,978130.25
4 Apr 2022,1533313.6765,488266.1176,1965470.1765,1666884.8529
5 Apr 2022,2667328.7391,964140,3266329.3043,2881652.3913
6 Apr 2022,2903110.037,1286691.5556,3534539.2593,3124720.5926
7 Apr 2022,2536075.3953,719774.2326,3254072,2775563.0233
8 Apr 2022,1517440.9231,441951.6923,2123504.6923,1619771.1154
9 Apr 2022,877947.4545,575513.7273,1070292.3636,917632.3636
10 Apr 2022,1003027.95,326940.3,1422695.4,1075083
11 Apr 2022,1571390.7222,711137.1111,2000294,1664919.25
12 Apr 2022,1538583.1831,729279.2394,1941046.6197,1659881.2958
13 Apr 2022,1230779.25,723554,1454211.5,1333176.25
14 Apr 2022,630504.2766,248554.8511,876646.2128,683137.8511
15 Apr 2022,340835.5135,130653.8919,477304.3784,352565.1892
16 Apr 2022,234636,78406.8,358851.6,224248.8
17 Apr 2022,386757.4,133666.2,551523.6,388421.4
18 Apr 2022,639656.8333,245295.619,864739.5714,664843.6429
19 Apr 2022,861631.1739,389802.5797,1138131.4783,902443.0725
20 Apr 2022,1556464.2192,574025.3425,2009873.5068,1720939.6849
21 Apr 2022,1295899.9149,528346.1702,1590200.1277,1369230.6383
22 Apr 2022,1616095.8235,560486.8824,2105505.1176,1813582.6176
23 Apr 2022,820867.8571,439580,1053156,867714
24 Apr 2022,1128055.4545,658720.0606,1337858.5455,1136055.697
25 Apr 2022,1663493.1882,641628.7294,2129480.4,1845329.2235
26 Apr 2022,2377842.4054,941365.7838,3050104,2616787.3514
27 Apr 2022,2434084.8065,946690.3226,3136980.2581,2696558.9677
28 Apr 2022,1760966.6341,753384.0976,2187967.8049,1967414.9024
29 Apr 2022,1202654.0769,392094.1154,1681402.7692,1336599.2115
30 Apr 2022,658488.6364,334987.7273,849000.7273,714566.7727
