category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Apr 2022,10.8,3,19.9143,11.1714
2 Apr 2022,12.5263,3,22.8947,13
3 Apr 2022,11.1,3,20.2,11.25
4 Apr 2022,9.3235,3,17.1176,9.7941
5 Apr 2022,9.6522,3,17.7826,9.8478
6 Apr 2022,9.963,3,18.6296,10.1481
7 Apr 2022,10.8372,3,19.9535,11.0233
8 Apr 2022,10.4615,3,19.2692,10.6538
9 Apr 2022,11.3182,3,20.9545,11.8182
10 Apr 2022,12.75,3,23.5,13.15
11 Apr 2022,11.3056,3.0556,20.8056,11.75
12 Apr 2022,9.9014,3.0282,18.1972,10.2817
13 Apr 2022,9,3,17,8.75
14 Apr 2022,11.0638,3,20.4043,11.4894
15 Apr 2022,10.6216,3.0541,19.8108,11.0811
16 Apr 2022,11,3,19.6,11.8
17 Apr 2022,10.9,3,20,11
18 Apr 2022,10.2381,3.0238,18.7143,10.7381
19 Apr 2022,11,3.1014,20.1304,11.4783
20 Apr 2022,11,3.0137,20.0959,11.2877
21 Apr 2022,10.2979,3.0213,18.766,10.6596
22 Apr 2022,10.3824,3.0294,19.0882,10.7059
23 Apr 2022,8,3.1429,14.2857,8.1429
24 Apr 2022,9.8182,3.0606,17.7576,10.2121
25 Apr 2022,10.3294,3.0235,18.8118,10.8235
26 Apr 2022,10.0811,3,18.5405,10.4054
27 Apr 2022,10.3226,3.0323,18.7742,10.6774
28 Apr 2022,10.0976,3.0732,18.4878,10.439
29 Apr 2022,11.0577,3.0192,20.4423,11.3462
30 Apr 2022,10.3636,3,19.0455,10.7727
