category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Apr 2022,757780.9143,44342.8571,1492228.5714,773885.7143
2 Apr 2022,1188710.7368,57052.6316,2291368.4211,1219578.9474
3 Apr 2022,1379620.15,56600,2851200,1395200
4 Apr 2022,1228707.6176,48235.2941,2641411.7647,1246000
5 Apr 2022,676626.8261,39043.4783,1319652.1739,708173.913
6 Apr 2022,601474.037,21333.3333,1159555.5556,642888.8889
7 Apr 2022,561363.3023,25581.3953,1085488.3721,570046.5116
8 Apr 2022,770920.3846,44461.5385,1540000,772923.0769
9 Apr 2022,857103.3182,48363.6364,1719454.5455,844545.4545
10 Apr 2022,1695966.95,81000,3231800,1788300
11 Apr 2022,898411.1892,44972.973,1795027.027,918378.3784
12 Apr 2022,1118408.3768,56057.971,2272115.942,1126115.942
13 Apr 2022,1689057.8333,89333.3333,3245333.3333,1664666.6667
14 Apr 2022,1767050.7447,86723.4043,3665021.2766,1751617.0213
15 Apr 2022,1047914.8378,71783.7838,2049837.8378,1064864.8649
16 Apr 2022,1849743.4,71200,4506400,1613600
17 Apr 2022,1938455.2,80000,4640000,1809200
18 Apr 2022,2292153.5366,93951.2195,4665073.1707,2280829.2683
19 Apr 2022,1851819.7,82400,3871942.8571,1809828.5714
20 Apr 2022,875892.0139,40333.3333,1706666.6667,895027.7778
21 Apr 2022,782183.6667,48583.3333,1518750,803708.3333
22 Apr 2022,583802.6176,44235.2941,1131294.1176,595823.5294
23 Apr 2022,2201654.7143,149142.8571,3999428.5714,2430857.1429
24 Apr 2022,1125253.25,80750,2173125,1133000
25 Apr 2022,1291304.6588,51200,2711623.5294,1287505.8824
26 Apr 2022,583621.5676,29837.8378,1125513.5135,614162.1622
27 Apr 2022,526773.5161,45419.3548,1027354.8387,496322.5806
28 Apr 2022,708292.2619,38095.2381,1421238.0952,726904.7619
29 Apr 2022,1034629.4231,56076.9231,2073769.2308,1050769.2308
30 Apr 2022,1447841.7273,95454.5455,2756727.2727,1483363.6364
