category,Average SndBufLimited,Minimum SndBufLimited,Maximum SndBufLimited,Median SndBufLimited
1 Apr 2022,0,0,0,0
2 Apr 2022,0,0,0,0
3 Apr 2022,0,0,0,0
4 Apr 2022,0,0,0,0
5 Apr 2022,0,0,0,0
6 Apr 2022,0,0,0,0
7 Apr 2022,0,0,0,0
8 Apr 2022,0,0,0,0
9 Apr 2022,0,0,0,0
10 Apr 2022,0,0,0,0
11 Apr 2022,0,0,0,0
12 Apr 2022,0,0,0,0
13 Apr 2022,0,0,0,0
14 Apr 2022,0,0,0,0
15 Apr 2022,0,0,0,0
16 Apr 2022,0,0,0,0
17 Apr 2022,0,0,0,0
18 Apr 2022,0,0,0,0
19 Apr 2022,0,0,0,0
20 Apr 2022,0,0,0,0
21 Apr 2022,0,0,0,0
22 Apr 2022,0,0,0,0
23 Apr 2022,0,0,0,0
24 Apr 2022,0,0,0,0
25 Apr 2022,0,0,0,0
26 Apr 2022,0,0,0,0
27 Apr 2022,0,0,0,0
28 Apr 2022,0,0,0,0
29 Apr 2022,0,0,0,0
30 Apr 2022,0,0,0,0
