category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Apr 2022,7794.1714,431.3429,15864.4286,7919.8
2 Apr 2022,7449.3158,451.5263,15833.6842,7184.8421
3 Apr 2022,6295.75,811.7,12494.05,6312.2
4 Apr 2022,3971.7353,179.7353,8316.0294,4294.9412
5 Apr 2022,7540.1087,496.3261,15139.587,7824.587
6 Apr 2022,8485.6296,703.0741,17218.4444,8647.0741
7 Apr 2022,7944.2791,400.5116,16741.4186,8104.1628
8 Apr 2022,4316.6923,184.4231,9820.5769,4057.0385
9 Apr 2022,5332.0909,736.1364,10363.1364,5310.4545
10 Apr 2022,6877.2,166.15,15488.45,6320.8
11 Apr 2022,6865.9722,637.4167,14025.3333,6944.4722
12 Apr 2022,5729.3239,523.4789,11519.0845,5836.9718
13 Apr 2022,3710.25,477.75,7456.75,3606
14 Apr 2022,3889.4894,160.9787,8841.0638,3696.617
15 Apr 2022,1703.1892,79.7297,3926.027,1655.8378
16 Apr 2022,1256.6,26.6,2983.6,1305
17 Apr 2022,2328.9,76.5,5657.6,2212.6
18 Apr 2022,2542.1667,124.3571,5786.1905,2518.9286
19 Apr 2022,4934.0725,370.4493,10578.5652,4926.7246
20 Apr 2022,6299.6849,481.9726,13098.3151,6339.0274
21 Apr 2022,4424.9149,300.4894,9017.1915,4540.4681
22 Apr 2022,5817.3529,545.7647,11992.6176,5889.9706
23 Apr 2022,2407.1429,202.1429,4669.2857,2452.8571
24 Apr 2022,5682.4545,810.6667,10739.7879,5728.6667
25 Apr 2022,5622.9176,398.5294,11752.9059,5759.5765
26 Apr 2022,7513.1892,551.6757,14941.3514,7784.0541
27 Apr 2022,8182.4839,701.871,16276.871,8544.2258
28 Apr 2022,5698.4878,557.4146,11411.4634,5909.2439
29 Apr 2022,4633.1923,213.4808,10478.0385,4448.0577
30 Apr 2022,3712.2273,360.3636,7846.6818,3686.9091
