category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Apr 2022,11366164.8571,732465.2571,23015656.2286,11572173.0571
2 Apr 2022,10480650,716388.7368,22046942.7368,10146404.4737
3 Apr 2022,9080353.15,1231276,17882515.6,9143339.8
4 Apr 2022,5870761.8529,313046.7647,12256086.4706,6347252.9118
5 Apr 2022,11217950.6304,785448.6522,22492744.1304,11647410.5217
6 Apr 2022,12531723.2963,1092324.7407,25331682.8148,12806870.6667
7 Apr 2022,11636917.4651,651327.0698,24432217.2558,11857160.7674
8 Apr 2022,6247074.0385,310538.1538,14134808.6154,5872880.6923
9 Apr 2022,7800870.9091,1124286.8636,15058915.9545,7781511.5
10 Apr 2022,9401596.05,309721.5,20931166.2,8673191.55
11 Apr 2022,9964094.0278,1043238.5556,20146127.2778,10102288.0833
12 Apr 2022,8411988.7606,833231.7183,16839203.3239,8577475.3662
13 Apr 2022,5452653.5,748100,10855389,5312526.25
14 Apr 2022,5322770.7021,284730.8936,11953682.4255,5069171.0426
15 Apr 2022,2333618.4054,143696.1081,5303343.2432,2271391.7027
16 Apr 2022,1721525.4,60117.6,4030231.2,1787208
17 Apr 2022,3183914.3,144946.8,7626507.6,3038706.3
18 Apr 2022,3538321.8095,228961.2857,7921241.1429,3518150.2143
19 Apr 2022,6911337.913,588397.8116,14655236.5072,6923703.8116
20 Apr 2022,9201203.6986,755824.3562,19037539.3973,9255553.3014
21 Apr 2022,6434373.0638,481130.1702,13036105.7021,6602048.383
22 Apr 2022,8527143.5882,842097.6471,17544841.6471,8629605.4118
23 Apr 2022,3627106.2857,334049.1429,6960349.1429,3713159.1429
24 Apr 2022,8462073.5758,1235813.6364,15990911.1515,8533254
25 Apr 2022,8190998.4706,643187.5529,17039396.6588,8385187.6235
26 Apr 2022,11147522.2973,878831.8919,22135473.1351,11525202.6486
27 Apr 2022,12139103.0968,1105515.0323,24218283.871,12627319.3548
28 Apr 2022,8401396.6829,887787.9512,16809300.2439,8706660.5366
29 Apr 2022,6509630.1154,367576,14588612.7692,6259783.0385
30 Apr 2022,5264553.7273,563806.8182,10985603.2727,5245910.6818
