category,Average BytesSent,Minimum BytesSent,Maximum BytesSent,Median BytesSent
1 Apr 2022,30013.3143,4773.4857,55347.9143,30525.5714
2 Apr 2022,31225.8421,4758,57783.8421,31717.0526
3 Apr 2022,29797.05,4758,54788.1,30668.8
4 Apr 2022,30291.3824,4809.6471,55547.4706,31151.2353
5 Apr 2022,29682.6739,4675.2174,54686.6522,30279.2174
6 Apr 2022,31415.8889,4758,58096,32092.9259
7 Apr 2022,30502.6744,4673.7674,56367.9302,30980.0233
8 Apr 2022,30303.2308,4771.6923,56074.1923,31028.2308
9 Apr 2022,29866.7273,4568.0455,55236.6364,30519.3182
10 Apr 2022,31091.65,4785.1,57404.15,31677.75
11 Apr 2022,30418.4324,4758,56194.3243,31213.973
12 Apr 2022,29529.7536,4791.7101,54285.8986,30194.2174
13 Apr 2022,28473.5,4758,52316.1667,28705.6667
14 Apr 2022,30087.0638,4758,55447.3404,30617.234
15 Apr 2022,30721.2162,4772.6486,56721.5135,31274.8919
16 Apr 2022,29354,4758,54000,29914.6
17 Apr 2022,30774.8,4758,57214.4,31212.5
18 Apr 2022,30456.122,4777.8537,56098.1951,30891.561
19 Apr 2022,28921.7,4713.7857,53152.0143,29499.9143
20 Apr 2022,29914.2917,4762.9444,55030.0417,30502.5139
21 Apr 2022,29995.5625,4776.7083,55283.9167,30599.4167
22 Apr 2022,30799.6176,5015.5294,56490.2647,31415.7353
23 Apr 2022,30914.7143,4758,56503.2857,32016
24 Apr 2022,29182.375,4787.25,53613.75,30049.0938
25 Apr 2022,30223.3882,4852.9176,55514.6235,30987.5647
26 Apr 2022,30248.1622,4806.7568,55603.1081,30880.8108
27 Apr 2022,30754.2258,4837.6129,56852.8065,31215.871
28 Apr 2022,30248.9524,4799.8095,55967.0952,30748.619
29 Apr 2022,29704.2885,4788.9615,54699.4038,30176.4808
30 Apr 2022,30122.9545,4782.6364,55446.4091,30466.3636
