category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Apr 2022,0.2,0,1.8,0.4
2 Apr 2022,0.4211,0,2.8421,0.3684
3 Apr 2022,0.85,0,4.55,0.65
4 Apr 2022,0.6176,0,3.4412,0.5588
5 Apr 2022,0.1739,0,1.8043,0.2826
6 Apr 2022,0.1481,0,1.6667,0.0741
7 Apr 2022,0.093,0,1.4651,0.1163
8 Apr 2022,0.0769,0,1.9231,0.1923
9 Apr 2022,0.2273,0,2,0.4091
10 Apr 2022,0.85,0,4.5,0.75
11 Apr 2022,0.2162,0,2.4595,0.2703
12 Apr 2022,0.4783,0,2.9275,0.3623
13 Apr 2022,0.5,0,4,1
14 Apr 2022,0.8085,0,4.617,0.8511
15 Apr 2022,0.2162,0,2.7297,0.2973
16 Apr 2022,1.2,0,3.8,1
17 Apr 2022,1.3,0,6.6,1.2
18 Apr 2022,1.1707,0,5.7561,1.3659
19 Apr 2022,0.9857,0,4.4571,1.1571
20 Apr 2022,0.3194,0,2.1944,0.5139
21 Apr 2022,0.0625,0,2.1042,0.4167
22 Apr 2022,0,0,1.6471,0.0588
23 Apr 2022,1.2857,0,5.1429,0.8571
24 Apr 2022,0.7188,0,3.0938,0.5938
25 Apr 2022,0.6471,0,3.6,0.6
26 Apr 2022,0.1351,0,2.1892,0.1622
27 Apr 2022,0.0645,0,1.3226,0.0645
28 Apr 2022,0.119,0,1.9762,0.3571
29 Apr 2022,0.3846,0,2.8462,0.3269
30 Apr 2022,0.5455,0,3.1818,0.5
