category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Apr 2022,0.5714,0,4.2286,1
2 Apr 2022,0.1579,0,1.9474,0.2105
3 Apr 2022,0.35,0,5,0.25
4 Apr 2022,0.9412,0,9.2353,0.5588
5 Apr 2022,1.3696,0,14.5652,2.6522
6 Apr 2022,1.5185,0,19.2222,0.9259
7 Apr 2022,1.2558,0,14.6977,0.6279
8 Apr 2022,0.8462,0,6.9231,1.1923
9 Apr 2022,0.2273,0,2.0909,0.2273
10 Apr 2022,0.25,0,4.95,0
11 Apr 2022,0.6667,0,6.0278,0.3889
12 Apr 2022,0.8873,0,9.6761,0.7042
13 Apr 2022,1,0,8.75,1
14 Apr 2022,0.1064,0,1.617,0.234
15 Apr 2022,0.027,0,0.6757,0.0541
16 Apr 2022,0,0,0.8,0
17 Apr 2022,0,0,0.2,0.1
18 Apr 2022,0.0952,0,1.1429,0.0952
19 Apr 2022,0.2029,0,2.4783,0.087
20 Apr 2022,0.9041,0,9.6986,1.274
21 Apr 2022,0.3404,0,4.7234,0.4255
22 Apr 2022,1.0588,0,9.9706,0.8529
23 Apr 2022,1.1429,0,8.5714,2.5714
24 Apr 2022,0.6667,0,7.5455,0.6667
25 Apr 2022,0.8235,0,7.8588,1.3529
26 Apr 2022,1.6216,0,17.6486,0.8108
27 Apr 2022,1.7097,0,13.5484,1.4516
28 Apr 2022,1.1463,0,14.1707,0.561
29 Apr 2022,0.4808,0,6.5,1.9615
30 Apr 2022,0.1818,0,1.5,0.0909
