category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Mar 2022,1.0137,0,7.2192,1.0411
2 Mar 2022,1.1765,0,11,0.5882
3 Mar 2022,0,0,0,0
4 Mar 2022,0.2778,0,2.4444,0.5
5 Mar 2022,0.8095,0,4.5,0.9762
6 Mar 2022,0.3731,0,2.209,0.4627
7 Mar 2022,1.06,0,12.76,0.96
8 Mar 2022,1.1818,0,17.2273,0.9091
9 Mar 2022,0.8033,0,11.0328,0.2623
10 Mar 2022,0.4286,0,4.0571,1.2857
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,6,0,46.5,5.5833
14 Mar 2022,3.75,0,15.25,6.5
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1.0286,0,9.0857,0.8571
18 Mar 2022,1.0263,0,8.6579,0.8421
19 Mar 2022,0.6061,0,3.6667,0.4848
20 Mar 2022,3,0,12,5.5
21 Mar 2022,1.3448,0,10.6552,0.7241
22 Mar 2022,2.6923,0,17.6923,1.3846
23 Mar 2022,1.15,0,13.55,1.15
24 Mar 2022,1.0909,0,7.7727,2.3864
25 Mar 2022,0.3962,0,4.9623,0.1887
26 Mar 2022,0.1481,0,1.8148,0.0741
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1.1042,0,9.2708,0.6667
