category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Mar 2022,1500,1500,1500,1500
2 Mar 2022,1500,1500,1500,1500
3 Mar 2022,0,0,0,0
4 Mar 2022,1500,1500,1500,1500
5 Mar 2022,1500,1500,1500,1500
6 Mar 2022,1500,1500,1500,1500
7 Mar 2022,1500,1500,1500,1500
8 Mar 2022,1500,1500,1500,1500
9 Mar 2022,1500,1500,1500,1500
10 Mar 2022,1500,1500,1500,1500
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,1500,1500,1500,1500
14 Mar 2022,1500,1500,1500,1500
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1500,1500,1500,1500
18 Mar 2022,1500,1500,1500,1500
19 Mar 2022,1500,1500,1500,1500
20 Mar 2022,1500,1500,1500,1500
21 Mar 2022,1500,1500,1500,1500
22 Mar 2022,1500,1500,1500,1500
23 Mar 2022,1500,1500,1500,1500
24 Mar 2022,1500,1500,1500,1500
25 Mar 2022,1500,1500,1500,1500
26 Mar 2022,1500,1500,1500,1500
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1500,1500,1500,1500
