category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Mar 2022,148547.4247,57147.1918,297954.2603,166964.4384
2 Mar 2022,39229.8235,12885.0588,111200.1765,35522.7647
3 Mar 2022,0,0,0,0
4 Mar 2022,265294.6111,106395.9815,530786.0556,274037.0185
5 Mar 2022,254064.1429,97118.7857,477999.2857,283278.0952
6 Mar 2022,341276.9104,135398.1194,597772.9104,380242.5672
7 Mar 2022,144304.86,73233.16,293351.56,137640.94
8 Mar 2022,174383.9091,85824.2727,339330.2045,188340.7273
9 Mar 2022,155882.5902,71220.7869,308752.4262,176825.6557
10 Mar 2022,246794.6,87292.0571,409785.6857,343579.8571
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,340073.25,185198.3333,645533.5,469482.3333
14 Mar 2022,309925.75,104826.75,628994.25,539198.25
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,232978,81002.9429,451999.7714,302038.7714
18 Mar 2022,236304.2368,75144.2895,460662.7632,363405.4211
19 Mar 2022,430952.0303,128873.8485,740989.4242,551233.4242
20 Mar 2022,133601,125216.5,153198,126556.5
21 Mar 2022,28311.3793,7419.8966,103407.4138,26612.069
22 Mar 2022,44267.1538,21378.4615,114584.2308,74647.3846
23 Mar 2022,80289.5,28372.9,194434.2,81029.15
24 Mar 2022,76157.3182,24719.8636,182606.6364,89203
25 Mar 2022,73519,28203.717,175189.1321,72921
26 Mar 2022,126510.963,46028.8519,251513.9259,131953.3333
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,57371.4792,23810.5625,137685.9792,48220.0625
