category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Mar 2022,1448.1667,1448.1667,1448.1667,1448.1667
2 Mar 2022,1448.6667,1448.6667,1448.6667,1448.6667
3 Mar 2022,0,0,0,0
4 Mar 2022,1448,1448,1448,1448
5 Mar 2022,1448,1448,1448,1448
6 Mar 2022,1448,1448,1448,1448
7 Mar 2022,1448,1448,1448,1448
8 Mar 2022,1448,1448,1448,1448
9 Mar 2022,1448,1448,1448,1448
10 Mar 2022,1448,1448,1448,1448
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,1448,1448,1448,1448
14 Mar 2022,1448,1448,1448,1448
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1448,1448,1448,1448
18 Mar 2022,1448,1448,1448,1448
19 Mar 2022,1448,1448,1448,1448
20 Mar 2022,1448,1448,1448,1448
21 Mar 2022,1448,1448,1448,1448
22 Mar 2022,1448,1448,1448,1448
23 Mar 2022,1448,1448,1448,1448
24 Mar 2022,1448,1448,1448,1448
25 Mar 2022,1448,1448,1448,1448
26 Mar 2022,1448,1448,1448,1448
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1448,1448,1448,1448
