category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Mar 2022,3.2329,3,3.3562,3.3562
2 Mar 2022,3,3,3,3
3 Mar 2022,0,0,0,0
4 Mar 2022,3.0185,3,3.0741,3
5 Mar 2022,3,3,3,3
6 Mar 2022,3,3,3,3
7 Mar 2022,3.68,3,12.14,3
8 Mar 2022,3,3,3,3
9 Mar 2022,6.541,3,8.082,8.082
10 Mar 2022,3,3,3,3
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,9.4167,3,18.8333,8.5
14 Mar 2022,6,3,15.5,3
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,3.3429,3,3.6857,3.4857
18 Mar 2022,3,3,3,3
19 Mar 2022,3,3,3,3
20 Mar 2022,3,3,3,3
21 Mar 2022,3,3,3,3
22 Mar 2022,3,3,3,3
23 Mar 2022,3.5,3,4.05,4.05
24 Mar 2022,3.5909,3,6,3
25 Mar 2022,3,3,3,3
26 Mar 2022,3,3,3,3
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,3.0417,3.0417,3.0417,3.0417
