category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Mar 2022,232.1507,0.9863,560.4932,239.0959
2 Mar 2022,420.3529,0.5882,945.4706,429.9412
3 Mar 2022,0,0,0,0
4 Mar 2022,125.537,12.3148,249.9444,127.6481
5 Mar 2022,10.5714,0.2857,25.0952,10.7619
6 Mar 2022,35.5224,0.0746,77.2836,38.3731
7 Mar 2022,331.06,0.06,730.86,355.96
8 Mar 2022,225.6818,0.0455,504.8864,237.6136
9 Mar 2022,229.6066,15.9016,496.7869,234.8033
10 Mar 2022,357.8286,7.7429,754.5429,366.2857
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,111.6667,0,380.6667,55.0833
14 Mar 2022,37,0,93.75,33.5
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,314.0571,1.4,734.3714,336.2571
18 Mar 2022,279.1579,0.8947,633.6842,288.3947
19 Mar 2022,187.4545,0.0606,419.3333,188.1818
20 Mar 2022,35,0,122.5,40.5
21 Mar 2022,411.4138,1.9655,975.5862,413.5172
22 Mar 2022,633.2308,0,1351.0769,668.8462
23 Mar 2022,239.85,7.5,628.5,210.6
24 Mar 2022,261.9545,0.1818,615.9318,268.1818
25 Mar 2022,81.283,1.1509,216.2264,69.8302
26 Mar 2022,6.1852,0,15.5185,5.8148
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,381.2708,1.1667,842.1667,396.0417
