category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Mar 2022,7456945.2329,392141.5342,15585590.9315,7621524.7123
2 Mar 2022,13500962.2353,936880.6471,26880285.7059,13893368.8824
3 Mar 2022,0,0,0,0
4 Mar 2022,3952231.0741,460596.3333,8365097.2963,4022307.037
5 Mar 2022,3610624.2857,121266.0952,8375379.2857,3471644.5714
6 Mar 2022,1635658.2388,50883.7164,3555781.209,1682132.3731
7 Mar 2022,10759518.6,435687.44,23516211.8,10874761.4
8 Mar 2022,10786596.5909,410108.8182,23561699.4545,10883728.2273
9 Mar 2022,10244214.4754,590971.2951,21976852.1148,10393473.4754
10 Mar 2022,8018902.5143,757878.8857,15624091.2857,8494491.6857
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,885682.8333,27371.1667,3025283.5,585822.25
14 Mar 2022,310819.75,32536.5,614115.5,344508.5
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,6935798,398040.3714,14183574.2,7284832.4286
18 Mar 2022,6815259.2368,438983,13662647.4737,7061155.7632
19 Mar 2022,4035567.2424,322877.697,7792983.7576,4121782.3333
20 Mar 2022,157554.5,12802,360231,169900.5
21 Mar 2022,10868625.7586,623590.9655,22481248.1379,11451155.0345
22 Mar 2022,13130766.6923,1200335.6923,25186186.7692,13439241.2308
23 Mar 2022,8900544.55,425467.3,18214903.1,9197898.7
24 Mar 2022,8836258.6818,485108.1364,18520275.7273,8962021.5455
25 Mar 2022,7042542.6792,307039.3208,15205774.6038,7083329.5094
26 Mar 2022,3098248.5926,104079.1111,7219815.7778,2960218.4444
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,10142166.1667,662176.9167,20871253.3333,10286502.9167
