category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Mar 2022,1047.0411,791.274,1380.3836,1048.3151
2 Mar 2022,1177.5294,833,1598.8235,1181.5882
3 Mar 2022,0,0,0,0
4 Mar 2022,1005.5185,785,1296.7778,1009.6852
5 Mar 2022,1043.0476,785,1357.9524,1049.2143
6 Mar 2022,962.3582,785,1205.194,966.4627
7 Mar 2022,1085.46,785,1458.04,1093
8 Mar 2022,1095.6818,785,1469.7045,1093.3636
9 Mar 2022,1118.2459,785,1516.1967,1128.377
10 Mar 2022,1044.9714,785,1355.7143,1059.0857
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,881.0833,785,1043.5,877.1667
14 Mar 2022,828,785,890.75,832.25
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1012.9429,809.4286,1274.0571,1027.0857
18 Mar 2022,978.9211,785,1226.5526,986.2105
19 Mar 2022,911.5758,785,1082.6667,914.0303
20 Mar 2022,819.5,785,879,820.5
21 Mar 2022,1069.5517,785,1413.8276,1078.4483
22 Mar 2022,1075.2308,785,1439.3846,1069
23 Mar 2022,1075.95,785,1433.6,1077.75
24 Mar 2022,1134.2955,785,1550.8864,1137.0682
25 Mar 2022,1148.5094,785,1573.3585,1163.3774
26 Mar 2022,1140.037,785,1561.3704,1152.4074
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1133.2917,785,1551.6875,1138.0625
