category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Mar 2022,2480500.4306,392461.875,4373744.8333,2534092.5833
2 Mar 2022,3905311,539556.8889,6822610.7778,4001725.8889
3 Mar 2022,0,0,0,0
4 Mar 2022,859422.2321,124920.7857,1528712.3571,889363.5357
5 Mar 2022,928280.95,67766.4,1527965.85,986744.85
6 Mar 2022,533651.6119,55567.9851,934445.8507,569213.7015
7 Mar 2022,2148705.0784,359661.549,3793197.5882,2236291.0588
8 Mar 2022,1876693.2791,284893.9767,3209504.4419,1945888.2791
9 Mar 2022,2208105.3667,341200.0667,3676985.4,2303516.3833
10 Mar 2022,2627371.4722,510912,4623698.4167,2671624.5278
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,967871.9167,13339,1945817,1061389.25
14 Mar 2022,148321,783,266763,159277
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,2350162.4,323753.4286,4112765.7429,2386153.2571
18 Mar 2022,2164842.359,359099.9744,3798500.4359,2256677.641
19 Mar 2022,1400949.8182,227979.9697,2352034.5152,1448481.0606
20 Mar 2022,161539.3333,17097,248967,174777
21 Mar 2022,3300571.4667,419446.9333,5815291.1333,3425543.6667
22 Mar 2022,4065551.8462,539484.6923,7027571.4615,4252836.0769
23 Mar 2022,3158979.8,341581.7,5561087.4,3305922.15
24 Mar 2022,2157413.8667,250751.6222,3923260.2222,2159369.6
25 Mar 2022,2842260.8909,280110.6364,5170903.2909,2935498.9818
26 Mar 2022,321255.0741,17203,631303.5926,326093.2593
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,2858915.3958,396304.125,5063006.8333,2889386.7917
