category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Mar 2022,0,0,0,0
2 Mar 2022,0,0,0,0
3 Mar 2022,0,0,0,0
4 Mar 2022,0,0,0,0
5 Mar 2022,0,0,0,0
6 Mar 2022,0,0,0,0
7 Mar 2022,0,0,0,0
8 Mar 2022,0,0,0,0
9 Mar 2022,0,0,0,0
10 Mar 2022,0,0,0,0
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,0,0,0,0
14 Mar 2022,0,0,0,0
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,0,0,0,0
18 Mar 2022,0,0,0,0
19 Mar 2022,0,0,0,0
20 Mar 2022,0,0,0,0
21 Mar 2022,0,0,0.0345,0.0345
22 Mar 2022,0,0,0,0
23 Mar 2022,0,0,0,0
24 Mar 2022,0,0,0,0
25 Mar 2022,0,0,0.0189,0
26 Mar 2022,0,0,0,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0,0,0,0
