category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Mar 2022,1064.4167,210.1667,1834.0417,1088.9306
2 Mar 2022,1639.7778,246,2844.6111,1676.7778
3 Mar 2022,0,0,0,0
4 Mar 2022,425.0179,66.2143,751.2143,438.0893
5 Mar 2022,426,44.925,700.8,450.4
6 Mar 2022,301.0299,36.9552,523.8806,318.0896
7 Mar 2022,975.3725,181.8039,1695.8039,1012.9608
8 Mar 2022,843.3488,133.8837,1439.3488,872.8837
9 Mar 2022,951.7833,160.8,1590.3167,989.2167
10 Mar 2022,1148.3056,218.6111,2019.9167,1168.7222
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,560.1667,16.75,1027.8333,645.4167
14 Mar 2022,149,8.3333,268.6667,155.6667
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1051.3714,174.5143,1810.5714,1070.6286
18 Mar 2022,1002.5641,188.0769,1719.6667,1044.7179
19 Mar 2022,674.1515,121.3333,1117.0303,696.2121
20 Mar 2022,136.6667,27,214.3333,144.6667
21 Mar 2022,1438.0667,211.4667,2486.7,1487.9333
22 Mar 2022,1788.1538,274.3077,3039.3846,1869.6923
23 Mar 2022,1272.2,170.8,2215.65,1327.4
24 Mar 2022,980.6222,140.9333,1740.7778,985.1778
25 Mar 2022,1200.4727,139.6182,2168.5636,1236.7455
26 Mar 2022,205.5185,18.0741,381.2593,213.1481
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1250.375,197.8542,2183.6042,1263.7917
