category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Mar 2022,2247.2055,121.2877,4916.7397,2279.8767
2 Mar 2022,3379.4706,173.5882,7349.5882,3445.9412
3 Mar 2022,0,0,0,0
4 Mar 2022,1476.5926,191.7963,3043.0185,1521.4259
5 Mar 2022,1183.5476,69.5714,2576.8571,1175.4524
6 Mar 2022,654.3731,28.5672,1436.4925,676.6269
7 Mar 2022,2612.68,82.72,5981.74,2643.74
8 Mar 2022,2397.5455,76.0909,5415.1136,2398.4318
9 Mar 2022,2756.1639,239.5574,5829.8852,2774.5738
10 Mar 2022,3039.9429,277.6857,6132.5429,3147.2857
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,369.0833,23.5833,1064.25,307.5833
14 Mar 2022,117,20.25,225.75,125.5
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,2046.2857,96,4660.4571,2088.5143
18 Mar 2022,1982.0263,87.0789,4484.4211,1972.2105
19 Mar 2022,1190.4242,64.5152,2625.0909,1171.697
20 Mar 2022,98,14,212.5,107
21 Mar 2022,2961.3448,193.6897,6713.1034,2968.3793
22 Mar 2022,4082.5385,190.6154,8919.2308,4075.1538
23 Mar 2022,2684.1,162,5716.7,2671.25
24 Mar 2022,2738.0909,133.4091,6044.5455,2712.9545
25 Mar 2022,2003.8302,111.1887,4398.6226,1988.0943
26 Mar 2022,1139,64.2963,2511.6667,1107.4444
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,3044.5417,165.3542,6783.6042,3017.9792
