category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Mar 2022,5.6944,0,114.0833,0
2 Mar 2022,32,0,393.1667,0
3 Mar 2022,0,0,0,0
4 Mar 2022,1.25,0,41.8036,0
5 Mar 2022,0,0,0,0
6 Mar 2022,0.0149,0,0.6418,0
7 Mar 2022,0.0196,0,0.8431,0
8 Mar 2022,0,0,0,0
9 Mar 2022,0.35,0,19.4,0
10 Mar 2022,5.0833,0,98.5,16.2222
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,0,0,0,0
14 Mar 2022,0,0,0,0
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,61.9143,0,629.3714,0
18 Mar 2022,2.5128,0,60.0769,0
19 Mar 2022,3.1212,0,70.5758,0
20 Mar 2022,6511,0,14093,6448.6667
21 Mar 2022,15,0,234.2667,58.4667
22 Mar 2022,0,0,0,0
23 Mar 2022,0,0,0,0
24 Mar 2022,0,0,0,0
25 Mar 2022,26.8909,0,300.2,0
26 Mar 2022,0,0,0,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0,0,0,0
