category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Mar 2022,1774.6806,287.5833,3124.5417,1813.8333
2 Mar 2022,2792.2778,390.2778,4878.3333,2857.9444
3 Mar 2022,0,0,0,0
4 Mar 2022,623.4107,94.0357,1105.5714,644.8571
5 Mar 2022,697.65,54.475,1145.575,740.9
6 Mar 2022,397.1493,44.0597,690.806,422.2985
7 Mar 2022,1539.9804,262.8824,2715.3529,1602.3529
8 Mar 2022,1346.6279,208.0698,2299.9302,1396.5116
9 Mar 2022,1598.3,248.9167,2653.2,1668.1167
10 Mar 2022,1882.5,369.5556,3310.5278,1914.1111
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,699,13.6667,1372.5833,768.5833
14 Mar 2022,118.3333,3,202.6667,124
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1684.1714,236.2,2941.3714,1711.6571
18 Mar 2022,1551.3846,260.2821,2718.8718,1616.8462
19 Mar 2022,1006.5455,169.1515,1687.7879,1040.4242
20 Mar 2022,125.6667,21.6667,189.6667,134.6667
21 Mar 2022,2362.0333,304.3333,4159.7,2451.2
22 Mar 2022,2907.0769,393.0769,5021.8462,3041.6923
23 Mar 2022,2270.6,248.8,3993.85,2377.45
24 Mar 2022,1553.9111,184.0444,2821.9333,1555.6222
25 Mar 2022,2057.2727,204.8364,3742.0545,2122.8545
26 Mar 2022,247.1481,15.963,478.7407,250.037
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,2051.7292,287.2708,3631.9792,2073.7292
