category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Mar 2022,1602301.6712,629382.5205,3071736.8356,1473934.2877
2 Mar 2022,2712167.9412,1075066.9412,5347655.1765,2366499.4706
3 Mar 2022,0,0,0,0
4 Mar 2022,815173.8704,330329.6852,1560551.3148,891440.5926
5 Mar 2022,836558.9524,289734.119,1212815.4048,875303.7143
6 Mar 2022,356440.4328,151086.4627,611325.9701,382295.8209
7 Mar 2022,2274896.78,796192.22,4402861.3,2359310.94
8 Mar 2022,2257419.9773,589669.75,3868388.1364,2410857.7045
9 Mar 2022,2147732.2295,703632,4040644.1967,2243856
10 Mar 2022,1649259.1429,945596.3143,4651603.0571,1233014.8571
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,260864.5833,27484.9167,608831.5833,370841.25
14 Mar 2022,128886,30087.75,277987.75,58465.75
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1562729.5143,659950.5714,3350476.7143,1284347
18 Mar 2022,1414935.4474,710789.5,2792691.4474,1264349.4474
19 Mar 2022,816561.8485,418954.0303,1711827.8485,701537
20 Mar 2022,159610,42681.5,428418.5,151836.5
21 Mar 2022,2340612.0345,945768.931,4674651.2414,2129057.0345
22 Mar 2022,2552319.6154,1479268.3077,5757937.6154,2135555.8462
23 Mar 2022,1895265.75,604664.7,3783690.05,1755386.45
24 Mar 2022,1824179.5682,796118.4773,3413063.2273,1652383.0227
25 Mar 2022,1444289.7736,559002.3396,2362595.6038,1503507.4906
26 Mar 2022,698162.9259,259620.7407,1210912.9259,705238.2963
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,2085429.8333,1026305.9792,4025313.875,1874771.4375
