category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Mar 2022,4401466.9863,313479.4521,9646684.9315,4349972.6027
2 Mar 2022,4493191.2941,255294.1176,9687529.4118,4521294.1176
3 Mar 2022,0,0,0,0
4 Mar 2022,4310711.0556,375259.2593,9675629.6296,4359888.8889
5 Mar 2022,4287319.7143,381333.3333,9568000,4289000
6 Mar 2022,4381320.0149,402686.5672,9501791.0448,4452298.5075
7 Mar 2022,4577003.38,303840,9909840,4644200
8 Mar 2022,4684545.9091,328090.9091,9885090.9091,4739136.3636
9 Mar 2022,4559160.1475,325967.2131,9645573.7705,4616229.5082
10 Mar 2022,4299772.0857,279542.8571,9390742.8571,4655371.4286
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,3683673.4167,386333.3333,9085333.3333,3463500
14 Mar 2022,3772408.25,361000,8095000,3947500
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,4333939.9714,440914.2857,9332000,4628685.7143
18 Mar 2022,4132635.3684,341157.8947,9322631.5789,4191842.1053
19 Mar 2022,4022355.2424,403151.5152,8953818.1818,4214606.0606
20 Mar 2022,1295400,256000,3624000,1229000
21 Mar 2022,4507597.2759,325241.3793,9802896.5517,4645103.4483
22 Mar 2022,4509961.6923,333230.7692,9795692.3077,4482769.2308
23 Mar 2022,4549804.3,268200,9725200,4529000
24 Mar 2022,4373663.3409,244454.5455,9784636.3636,4291181.8182
25 Mar 2022,4413534.4151,291396.2264,9661660.3774,4416792.4528
26 Mar 2022,4409559.4815,269629.6296,9725333.3333,4228666.6667
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,4439588.9167,283333.3333,9787833.3333,4388833.3333
