category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Mar 2022,1370226.8056,118555.5556,2650944.4444,1382277.7778
2 Mar 2022,506321.4444,21777.7778,1004222.2222,512444.4444
3 Mar 2022,0,0,0,0
4 Mar 2022,2454101.7321,213714.2857,4817642.8571,2462714.2857
5 Mar 2022,2263248.65,177600,4437400,2275200
6 Mar 2022,2690958.8657,229910.4478,5206089.5522,2744208.9552
7 Mar 2022,1834735.8627,170431.3725,3553647.0588,1873529.4118
8 Mar 2022,2082009.5349,182883.7209,4055069.7674,2062139.5349
9 Mar 2022,1789184.3333,155200,3504400,1789200
10 Mar 2022,1610625.6667,169777.7778,3079666.6667,1683722.2222
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,3619006.9167,333333.3333,6742333.3333,3793666.6667
14 Mar 2022,2517197.3333,125333.3333,4924000,2656000
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1799419.4286,198057.1429,3486171.4286,1808685.7143
18 Mar 2022,1915026.7692,219897.4359,3654974.359,1960461.5385
19 Mar 2022,2573064.2424,273454.5455,4955757.5758,2627090.9091
20 Mar 2022,4483139,881333.3333,7932000,4501333.3333
21 Mar 2022,671146.3333,86133.3333,1192133.3333,730733.3333
22 Mar 2022,537215.3846,44615.3846,1004615.3846,559538.4615
23 Mar 2022,732961.85,49400,1423600,747900
24 Mar 2022,862733.6,51200,1671111.1111,883466.6667
25 Mar 2022,1107737.0727,50690.9091,2380363.6364,1090581.8182
26 Mar 2022,2267596,94814.8148,4655555.5556,2305703.7037
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,905515.8542,46916.6667,1842333.3333,893708.3333
