category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Mar 2022,12631.6575,1095.8904,16109.589,16109.589
2 Mar 2022,27396.0588,3764.7059,35294.1176,34117.6471
3 Mar 2022,0,0,0,0
4 Mar 2022,18250.5741,666.6667,33555.5556,15222.2222
5 Mar 2022,27276.4762,0,40476.1905,40142.8571
6 Mar 2022,17797.7463,0,36179.1045,17134.3284
7 Mar 2022,40485.54,480,107600,30640
8 Mar 2022,41370.2273,545.4545,114090.9091,40454.5455
9 Mar 2022,112366.8361,0,262622.9508,121737.7049
10 Mar 2022,1203.8,114.2857,1371.4286,1371.4286
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,193457.3333,0,749000,45166.6667
14 Mar 2022,0,0,0,0
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,103987.6571,1142.8571,290742.8571,102171.4286
18 Mar 2022,2047.0789,631.5789,2526.3158,2526.3158
19 Mar 2022,618.1818,0,727.2727,727.2727
20 Mar 2022,0,0,0,0
21 Mar 2022,3371.2069,2206.8966,4000,4000
22 Mar 2022,38525,3076.9231,84307.6923,84307.6923
23 Mar 2022,0,0,0,0
24 Mar 2022,710.2273,454.5455,727.2727,727.2727
25 Mar 2022,3069.6604,754.717,3547.1698,3547.1698
26 Mar 2022,1055.5556,0,2814.8148,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,10547.9583,333.3333,16666.6667,12250
