category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Mar 2022,324873.7397,1335.4384,784554.4521,334612.0411
2 Mar 2022,588468.5294,494.1176,1323787.0588,601685.5294
3 Mar 2022,0,0,0,0
4 Mar 2022,175234.3889,17148.463,348592.6852,178238.2407
5 Mar 2022,14033.3571,382.2857,33392.8095,14264.3095
6 Mar 2022,49195.2537,44.194,107200.4627,53148.0896
7 Mar 2022,462477.04,66.82,1020918.58,497047.64
8 Mar 2022,314990.6136,31.8182,703836.8636,331673.25
9 Mar 2022,319737.1967,22202.3115,692269.1967,326320.541
10 Mar 2022,500936.6,10760,1056262.2857,512654.6857
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,157873.5833,0,538778,78033.25
14 Mar 2022,49444.75,0,125437.5,44655.75
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,439428.2857,1886.6,1027636.7143,470624.9429
18 Mar 2022,390676.8947,1184.6579,886244.7632,403458.7632
19 Mar 2022,262215.4848,42.4242,586315.9394,263350.9091
20 Mar 2022,46451,0,163905,54189
21 Mar 2022,575551.0345,2499.5172,1365520.2069,578478.8276
22 Mar 2022,886792.6154,0,1891822.1538,936341.5385
23 Mar 2022,334733.4,10327.2,877713.4,293480.65
24 Mar 2022,366562.6591,219.1818,861933.8182,375169.7273
25 Mar 2022,113493.7547,1535.8491,302416.9057,97465.5094
26 Mar 2022,8279.0741,0,20722.8889,7665
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,533637.0833,1611.5833,1178983.75,554340.8333
