category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Mar 2022,345.3472,23.3333,778.2917,301.0833
2 Mar 2022,726.4444,0,1657.2222,693.3889
3 Mar 2022,0,0,0,0
4 Mar 2022,133.8929,16,235.8214,141.2857
5 Mar 2022,70,0,96.95,82.975
6 Mar 2022,43.1045,8.0746,84,40.5075
7 Mar 2022,70.451,21.2157,152.3333,56.6275
8 Mar 2022,105.6512,70.3023,142.3023,105.3023
9 Mar 2022,80.5,9.0167,151.9333,60.2167
10 Mar 2022,551.9722,15.0278,916.5833,634.9444
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,117.4167,0,157.6667,139.75
14 Mar 2022,42.3333,0,86,43
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,413.1714,25.6,892.3714,415.9429
18 Mar 2022,340.0769,164.9744,461.7692,361.8974
19 Mar 2022,765.7273,211.3939,1168.5152,896.5455
20 Mar 2022,4047,1880,4530,4129
21 Mar 2022,1254.8667,303.7333,2315.7667,1177.3
22 Mar 2022,68.5385,0,129,69.4615
23 Mar 2022,275.45,17.8,497,354.45
24 Mar 2022,97,7.9111,158.2889,96.9111
25 Mar 2022,354.9636,6.4727,1025.1636,302.6182
26 Mar 2022,433.5926,20.0741,664.963,430.1111
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,74.625,0,134.7083,79.3542
