category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Mar 2022,0.3562,0.0137,0.8082,0.3836
2 Mar 2022,0.4706,0,1.1765,0
3 Mar 2022,0,0,0,0
4 Mar 2022,0.037,0,0.0556,0.037
5 Mar 2022,0,0,0.0238,0
6 Mar 2022,0.0149,0.0149,0.0149,0.0149
7 Mar 2022,1.5,0,3.14,2.28
8 Mar 2022,1.0909,0,2.1818,1.5227
9 Mar 2022,2.0492,0.0164,3.7049,2.623
10 Mar 2022,0,0,0,0
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,0.5833,0,2.0833,0.1667
14 Mar 2022,1.25,0,4,0.25
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,0.1429,0,0.4857,0.0286
18 Mar 2022,0.3158,0.0263,1.1053,0.2632
19 Mar 2022,0.0909,0,0.2727,0
20 Mar 2022,0,0,0,0
21 Mar 2022,3.5862,0.069,7.6207,1.6897
22 Mar 2022,0.0769,0,0.0769,0.0769
23 Mar 2022,1.6,0.05,3.75,1.4
24 Mar 2022,0.9091,0.0227,3.1818,0.5
25 Mar 2022,0.7736,0.0189,1.2453,0.8868
26 Mar 2022,0,0,0,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0.3542,0.0208,0.4792,0.375
