category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Mar 2022,1,0.0278,1.9306,0.9722
2 Mar 2022,0.8333,0,1.5556,0.8889
3 Mar 2022,0,0,0,0
4 Mar 2022,0.9821,0.0179,1.6607,1.0714
5 Mar 2022,0.575,0.025,0.85,0.65
6 Mar 2022,0.3881,0.0149,0.6269,0.4478
7 Mar 2022,0.6667,0.0392,1.3137,0.7647
8 Mar 2022,0.6977,0.0465,1.4651,0.7209
9 Mar 2022,0.7,0.0167,1.3667,0.6
10 Mar 2022,1.0278,0.0278,2,1.1111
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,0.75,0,1.0833,0.8333
14 Mar 2022,0.6667,0,1,0.6667
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1.0286,0.0571,1.8857,1.0857
18 Mar 2022,0.9744,0.0513,1.9487,1.0769
19 Mar 2022,0.7576,0.0606,1.6364,0.8485
20 Mar 2022,0.3333,0,1,0.3333
21 Mar 2022,1.9,0.0333,3.6333,2.1
22 Mar 2022,1.6923,0,2.9231,1.6154
23 Mar 2022,1.15,0.05,2,1.3
24 Mar 2022,1.2667,0.0222,2.2222,1.4222
25 Mar 2022,2.0909,0.0182,3.6545,2.2727
26 Mar 2022,3.4444,0.037,5.4074,3.8148
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1.25,0,2.125,1.3958
