category,Maximum Download Bandwidth,Minimum Download Bandwidth,Maximum Upload Bandwidth,Minimum Upload Bandwidth
1 Mar 2022,28.9451740272,10.1718579728,4.4938881112,3.5101368888
2 Mar 2022,54.193825412,19.2136677648,7.7073911112,6.8664142224
3 Mar 2022,0,0,0,0
4 Mar 2022,14.3006862224,3.7333875551999998,2.5046115712000003,1.823964
5 Mar 2022,10.850584952,4.0493573336,0.70911,0.6650402
6 Mar 2022,5.7425091344,1.75268,0.8146593432,0.756286328
7 Mar 2022,40.64062288,8.87841104,4.7006191376,4.1630732552
8 Mar 2022,36.2404305456,7.610911636,3.8062119072,3.4265118136
9 Mar 2022,36.332043016,8.0415940984,4.3665454664,3.7694566664
10 Mar 2022,42.5352619432,9.8558251432,7.143776666400001,7.1129573336
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,6.105601333599999,0.46476266639999997,0.351776,0.2822493336
14 Mar 2022,2.560802,1.111564,0.5316693336,0.5240133336
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,30.715895543200002,8.9898875432,4.7657771432,4.4323318856
18 Mar 2022,27.0163486312,9.18346,4.5945243080000004,4.1295522047999995
19 Mar 2022,16.0407338184,5.3040128488,3.0104632728,2.9657835151999996
20 Mar 2022,5.566296,0.343564,0.273488,0.25052
21 Mar 2022,44.1611059312,15.8013566896,6.8592312,6.0086775999999995
22 Mar 2022,52.574288,15.7075532304,8.4200738464,8.4030504616
23 Mar 2022,36.9020288,12.5251816,4.7176392,3.624132
24 Mar 2022,37.3923874544,12.186856545600001,4.2303175112,3.7656142224
25 Mar 2022,22.9199073208,10.884384604000001,4.4874218184000005,3.7935872
26 Mar 2022,11.291959704,3.5408222223999997,0.9312992592,0.876856
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,39.4307221664,12.6835571664,5.7709221664,5.7379346664
