category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Mar 2022,0,0,0.0833,0
2 Mar 2022,0,0,0.0556,0
3 Mar 2022,0,0,0,0
4 Mar 2022,0,0,0,0
5 Mar 2022,0,0,0.2,0
6 Mar 2022,0,0,0.1194,0
7 Mar 2022,0,0,0,0
8 Mar 2022,0,0,0,0
9 Mar 2022,0,0,0.0667,0
10 Mar 2022,0.1389,0,0.9722,0.3611
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,0,0,0.3333,0
14 Mar 2022,0,0,0,0
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,0.0571,0,0.5429,0.0286
18 Mar 2022,0,0,0.2051,0
19 Mar 2022,0.0303,0,0.3636,0
20 Mar 2022,1,0,1,1
21 Mar 2022,0.0333,0,0.2333,0.0333
22 Mar 2022,0,0,0,0
23 Mar 2022,0,0,0.05,0
24 Mar 2022,0,0,0,0
25 Mar 2022,0,0,0.1273,0.0182
26 Mar 2022,0,0,0.1111,0
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,0,0,0,0
