category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Mar 2022,1.1781,0,10.2192,1.0548
2 Mar 2022,1.5294,0,15.7059,0.5882
3 Mar 2022,0,0,0,0
4 Mar 2022,0.2778,0,2.4444,0.5
5 Mar 2022,0.881,0,5.0476,0.9762
6 Mar 2022,0.3731,0,2.4179,0.4627
7 Mar 2022,1.12,0,13.54,1
8 Mar 2022,1.2727,0,18.7045,0.9318
9 Mar 2022,0.918,0,13.2131,0.2623
10 Mar 2022,0.4571,0,4.2,1.2857
11 Mar 2022,0,0,0,0
12 Mar 2022,0,0,0,0
13 Mar 2022,6.3333,0,49.5,6
14 Mar 2022,6,0,17.25,11.75
15 Mar 2022,0,0,0,0
16 Mar 2022,0,0,0,0
17 Mar 2022,1.2571,0,11.3714,0.8571
18 Mar 2022,1.5789,0,17,0.8421
19 Mar 2022,0.6061,0,3.7576,0.4848
20 Mar 2022,38,0,136,64
21 Mar 2022,2.3793,0,27.3793,5.8276
22 Mar 2022,2.8462,0,21.0769,1.5385
23 Mar 2022,1.4,0,17.6,1.4
24 Mar 2022,1.2273,0,9.1591,2.3864
25 Mar 2022,0.5094,0,6.3585,0.1887
26 Mar 2022,0.1481,0,1.8148,0.0741
27 Mar 2022,0,0,0,0
28 Mar 2022,0,0,0,0
29 Mar 2022,0,0,0,0
30 Mar 2022,0,0,0,0
31 Mar 2022,1.5,0,15.5625,1.7292
