category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Nov 2022,3.6429,0,35.6429,3.7857
2 Nov 2022,7.0455,0.0455,61.9545,3.5455
3 Nov 2022,11.9091,0,129.6818,6.7273
4 Nov 2022,2.45,0,30.75,0.05
5 Nov 2022,2,0.6,7,1.2
6 Nov 2022,1.2308,0.0769,4.6154,0.4615
7 Nov 2022,6,0.0833,57.4167,0.9167
8 Nov 2022,13.1,0,124.35,12.8
9 Nov 2022,19.5385,0,204.7115,10.1346
10 Nov 2022,22.4423,0,222.3654,8.2115
11 Nov 2022,20.9697,0,215.6364,8.9394
12 Nov 2022,15.5714,0,151.2857,0.8571
13 Nov 2022,1.2143,0,6.3929,0.8214
14 Nov 2022,16.4211,0,169.1316,5.1579
15 Nov 2022,10.6795,0,117.1923,2.9103
16 Nov 2022,15.1957,0,152.6522,6.913
17 Nov 2022,16.1154,0,153,7.6154
18 Nov 2022,10.1111,0,104.3333,0
19 Nov 2022,3.0556,0,22,5.0556
20 Nov 2022,22.625,0,254.4375,10.125
21 Nov 2022,9.4211,0,62.9474,13.1579
22 Nov 2022,3.6471,0,32.7059,4.4706
23 Nov 2022,0.8077,0,10.5385,0.1154
24 Nov 2022,3.75,0,18.6667,1.1667
25 Nov 2022,24.4,0,205.6857,15.5429
26 Nov 2022,0,0,0,0
27 Nov 2022,0.2778,0,5.3333,0.0556
28 Nov 2022,6.0732,0,57.3659,1.878
29 Nov 2022,15.3611,0,173.9722,0.9722
30 Nov 2022,6.9556,0.0222,76.0444,2.1111
