category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Nov 2022,7708,1051.0714,28409.2143,6209.6429
2 Nov 2022,11841.2727,3136.6818,29486.2273,8736.1818
3 Nov 2022,4438.8182,771.5,22858.4091,2134.6364
4 Nov 2022,11123.75,2377.25,39637.6,11043.2
5 Nov 2022,5089.2,2645,8509.6,5335.8
6 Nov 2022,6956.1538,3465.3846,12372,6903.8462
7 Nov 2022,21007.75,11724.25,43957,14096.6667
8 Nov 2022,7184.35,1288.45,44125.2,4916.55
9 Nov 2022,10354.0577,1241.3654,61571.5962,8973.75
10 Nov 2022,10894.2115,1821.25,62291.1346,8086.6346
11 Nov 2022,5084.3333,673.9091,27033.5455,5225.4545
12 Nov 2022,1925.7857,883.6429,8434.9286,1611.7143
13 Nov 2022,7652.3571,3212.7143,16039.75,6449.8571
14 Nov 2022,11526,1836.6579,59575.5,18762.9474
15 Nov 2022,13431.5641,2758.7051,57315.9744,8366.5641
16 Nov 2022,17571.1304,3527.8696,51929.8261,14573.7174
17 Nov 2022,9559.1923,1307.6538,48255.5385,5541.6538
18 Nov 2022,32726.1111,7436,102083.8889,13381
19 Nov 2022,21471.7778,3741.3333,60439.3333,29568.1111
20 Nov 2022,1944.4375,386.375,14067.3125,1097.5
21 Nov 2022,8849.7895,2391.0526,34473.8421,6200.8947
22 Nov 2022,3993.4118,929.2353,15270.3529,3720.1176
23 Nov 2022,12008.1538,2980.2692,33714,16250.8462
24 Nov 2022,4071.4167,984.3333,16215.5833,4392.4167
25 Nov 2022,5035.3429,682.1429,38300.5714,2451.1429
26 Nov 2022,0,0,0,0
27 Nov 2022,4563.0556,1122.3889,17060.8333,6283.1667
28 Nov 2022,2620.4634,654.5122,10662.6585,2795.6098
29 Nov 2022,7393.6389,1910.1667,25486.9167,6219.0833
30 Nov 2022,6187.7556,1983.4222,22037.1556,6066.7333
