category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Nov 2022,10567,3310.0714,28182.1429,10447.1429
2 Nov 2022,24336.8261,7722.913,54352.4348,23638.3478
3 Nov 2022,10891.6818,4756.0909,20150.5455,11795.5
4 Nov 2022,35721.2,7572.05,86694.15,36265.5
5 Nov 2022,13370.8,5859.2,27939.2,10861.8
6 Nov 2022,12014.7692,6139.2308,22374.8462,10406.3077
7 Nov 2022,53265.7692,31883.4615,99790.6154,53944
8 Nov 2022,24918.5,6369.8,74903.45,21126.9
9 Nov 2022,34394.5577,10838.7692,98046.5385,37733.0769
10 Nov 2022,26327.3269,7988.2885,67197.1154,19139.0769
11 Nov 2022,21195.7188,7985.2813,46754.375,21641.4063
12 Nov 2022,7464.5,2963.5,19720.4286,5967.6429
13 Nov 2022,14480.4286,6250.2143,30825,11198.1071
14 Nov 2022,27967.0811,10201.1081,65136.4054,24501.5676
15 Nov 2022,54459.443,19752.6203,117899.1646,64548.1899
16 Nov 2022,39183.0217,9584.6957,108660.2391,27378.0217
17 Nov 2022,20647.8846,5876.8077,51909.4231,19992.7692
18 Nov 2022,101196.5556,29983.1111,211488.4444,139638.6667
19 Nov 2022,27250.4444,8263.1111,77614.2778,27982.5
20 Nov 2022,28075.6875,5002.0625,77720.0625,23767
21 Nov 2022,26125.1053,7454.1579,68576.7895,28573.5789
22 Nov 2022,34668.5882,13616.7647,67949.6471,35960.1765
23 Nov 2022,17296.5385,7245.6538,38956.3077,15490.3462
24 Nov 2022,25450.5,8747.7857,83374.6429,24107.7143
25 Nov 2022,23473.8,5794.7143,65993.5429,25594.4571
26 Nov 2022,0,0,0,0
27 Nov 2022,44217.7222,7489.3889,90845.1667,48697.8333
28 Nov 2022,10730.8049,4045.4634,24514.9268,11536
29 Nov 2022,25441.9189,15896.9189,45274.1351,25077.1892
30 Nov 2022,14357.1556,6004.6889,31235.1556,11279.9778
