category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Nov 2022,254.1429,0.0714,449.9286,289
2 Nov 2022,345.0909,4.0909,685.1818,376.6818
3 Nov 2022,929.9091,0,1558.5,1155.4091
4 Nov 2022,136.9,3.15,325.55,116
5 Nov 2022,85.6,7,146.8,116.6
6 Nov 2022,94.0769,5.3846,160.2308,129
7 Nov 2022,440.75,1.25,677.0833,555.5833
8 Nov 2022,1073.5,0.25,1646.95,1292.15
9 Nov 2022,1464.0962,2.0962,2320.3077,1727.2692
10 Nov 2022,1683.2692,0.1923,2685.8846,1935.4423
11 Nov 2022,1648.8485,0.0303,2537.6667,1911.0303
12 Nov 2022,2029.8571,0.5714,2895.7857,2202.2857
13 Nov 2022,83.7143,5.25,150.7143,102.1786
14 Nov 2022,1391.6579,2.0526,2199.5263,1609.6316
15 Nov 2022,1035.7436,1.2821,1657.1538,1191.4103
16 Nov 2022,1408.7609,0.1087,2215.087,1575.1957
17 Nov 2022,1232.5769,0.3462,1943.1923,1413.0769
18 Nov 2022,816.1111,0,1240.8889,940.1111
19 Nov 2022,141.7778,0.7222,290.8889,158.8333
20 Nov 2022,1812.875,0.125,2914.875,2234.75
21 Nov 2022,640.3158,1.1579,1298.0526,664.5263
22 Nov 2022,200.0588,0.8235,388,198.4706
23 Nov 2022,56,1.5769,102.8077,65.0769
24 Nov 2022,139.5833,1.4167,308.5833,142.4167
25 Nov 2022,1852.4571,0.1714,2937.8286,2159
26 Nov 2022,0,0,0,0
27 Nov 2022,30.1111,0,62.8889,25.6667
28 Nov 2022,604.4634,3.2439,1007.0732,664.5854
29 Nov 2022,1743.8333,0.1111,2659.4444,1940.5
30 Nov 2022,579.2222,8.2222,964.7556,667
