category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Nov 2022,1064.4286,785,1416.1429,1065.5
2 Nov 2022,958.7727,785,1173.8182,960.3636
3 Nov 2022,1111.2727,785,1513.5,1117.3182
4 Nov 2022,1022.7,785,1320.8,1024.95
5 Nov 2022,885.6,785,1020,883.8
6 Nov 2022,867.6154,785,973,877.3077
7 Nov 2022,955.0833,784.3333,1160.3333,968.5833
8 Nov 2022,1089.15,782.4,1445.1,1104.45
9 Nov 2022,1088.4231,783.2308,1460.2115,1093.8654
10 Nov 2022,1118.4423,783.6154,1518.4423,1129.0577
11 Nov 2022,1125.3939,784.8788,1529.7576,1124.0303
12 Nov 2022,1086.5,785,1443,1087.2857
13 Nov 2022,920.0357,785,1105.6071,918.6429
14 Nov 2022,1106.5526,783.6316,1487.3947,1109.7368
15 Nov 2022,1049.5897,784.4359,1369.5256,1059.6795
16 Nov 2022,1080.5217,785,1438.913,1085.0435
17 Nov 2022,1112.7308,785,1513.5,1134.8846
18 Nov 2022,985.6667,785,1218.4444,986.3333
19 Nov 2022,1066.6111,785,1401.2222,1072.3889
20 Nov 2022,1165.625,785,1616.3125,1197.75
21 Nov 2022,1136.7895,785,1554.3158,1151.2105
22 Nov 2022,1150.1176,785,1575.7059,1158.4706
23 Nov 2022,1130.2308,785,1526.1538,1143.0769
24 Nov 2022,1189.25,785,1658.4167,1196.5
25 Nov 2022,1115.5714,784.0857,1511.9143,1124.0286
26 Nov 2022,0,0,0,0
27 Nov 2022,1245.7778,785,1748.5,1273.4444
28 Nov 2022,1259.4146,785,1775.439,1277.4878
29 Nov 2022,1087.5278,785,1443,1088.0278
30 Nov 2022,974.1333,784.5556,1214.8667,981.0444
