category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Nov 2022,2337185.7857,386683.7143,3380586.7143,2561007.6429
2 Nov 2022,1316251.8182,278484,1795483.1364,1502425.9545
3 Nov 2022,2612327.1818,379330.0909,3576328.6364,3102274.7727
4 Nov 2022,1639495.7,460778.5,2254763.45,1840162.4
5 Nov 2022,350814.4,163503.6,451173.6,421202.4
6 Nov 2022,321019.0769,118361.5385,405105.2308,393680.7692
7 Nov 2022,896479,211623,1244911.5,881558.5
8 Nov 2022,2337580.5,657248.9,3114324.65,2605956.65
9 Nov 2022,2514794.0385,324924.3654,3410774.9808,2886069.7692
10 Nov 2022,2523592.5769,335387.7692,3433694.0577,2977432.8846
11 Nov 2022,2532308.4545,467026,3397769.9091,2870325.1515
12 Nov 2022,2413263.8571,905551.2857,3043900.2857,2678654.8571
13 Nov 2022,373666.0714,153478.5,471463.7143,438899.6786
14 Nov 2022,1982417.6579,364265.2632,2662275.0789,2309412.4474
15 Nov 2022,1662013.3846,277690.2564,2236716.2179,1839302.9744
16 Nov 2022,2424188.9565,404322.2609,3323967.2609,2808205.9783
17 Nov 2022,2252723.5769,610494.5769,3016174.5769,2490599.8077
18 Nov 2022,2044009.7778,505670.6667,2827033.3333,2371647.6667
19 Nov 2022,991074.5556,268957.6667,1385220,1056376.0556
20 Nov 2022,2760797.375,536892.125,3647647.5,3246558
21 Nov 2022,1625242.5263,372730.2105,2168107.3684,1692795.3158
22 Nov 2022,1695768.8235,795053.7647,2172824.2353,1779053.2941
23 Nov 2022,965717.3846,399462.2308,1332077.7692,1043651.8846
24 Nov 2022,1313099.1667,344793.8333,1895611.1667,1508445.75
25 Nov 2022,2634716.9429,565562.9714,3447192,3035056.5143
26 Nov 2022,0,0,0,0
27 Nov 2022,1113800.1667,430984.6667,1544200.6667,1224406.5
28 Nov 2022,1624832.7805,489568.5854,2182232.0976,1760065.4146
29 Nov 2022,2102040.4444,410486.5,2726329.0278,2428186.3611
30 Nov 2022,1436018.7778,349418.2222,1875049.4,1684558.7556
