category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Nov 2022,3773.2143,107.1429,7154.2143,3964.7143
2 Nov 2022,925.0435,23.0435,1603.8261,958
3 Nov 2022,2164.1818,42.6818,3818.6364,2237.9545
4 Nov 2022,755.05,66.75,1282.55,770.1
5 Nov 2022,710.6,78.4,1165.6,734.4
6 Nov 2022,711.4615,126.7692,1157.2308,725.1538
7 Nov 2022,1174.6154,60.3077,1945.2308,1222.2308
8 Nov 2022,3431.35,207.7,6008.85,3612.25
9 Nov 2022,1957.2885,31.3269,3635.0577,2037.1154
10 Nov 2022,2158.3654,34.8462,4151.5962,2244.8462
11 Nov 2022,1403.8438,29.1875,2708.4375,1422.9688
12 Nov 2022,4163.8571,129.7857,7957.2143,4267.7857
13 Nov 2022,727.1071,91.7143,1168.9643,750.1071
14 Nov 2022,4096.0811,214.1622,7857.8649,4374.9189
15 Nov 2022,2366.7975,167.7595,4364.443,2533.4684
16 Nov 2022,2070.0435,54.3696,3778.8261,2126.5
17 Nov 2022,2391.9615,22.8846,4343.9231,2614.4231
18 Nov 2022,1911.8889,37.4444,3271.4444,2084.2222
19 Nov 2022,2848.3333,54.8333,5191.8333,3106.3333
20 Nov 2022,4085.9375,81.0625,7937.3125,4125.9375
21 Nov 2022,4766.5263,461.2105,8150.9474,4893.7368
22 Nov 2022,1960.6471,83.1765,3369.8235,2066.2353
23 Nov 2022,1647,75.3462,2829.6538,1755.5385
24 Nov 2022,1248.5714,104.6429,2324.2143,1257.7143
25 Nov 2022,1928.4286,27.6857,3479.7714,2113.4571
26 Nov 2022,0,0,0,0
27 Nov 2022,7524.5,155.0556,15196.4444,7725.6667
28 Nov 2022,3779.2439,168.1463,6882.6585,3899.0732
29 Nov 2022,2100.2432,54.5676,3896.6216,2205.7568
30 Nov 2022,1622.0667,79.5111,3010.4667,1639.9556
