category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Nov 2022,4694102.2143,384857.1429,9808285.7143,4784000
2 Nov 2022,4557785.8636,490000,9349454.5455,5069272.7273
3 Nov 2022,4719076.0909,287454.5455,9895272.7273,4856181.8182
4 Nov 2022,4544054.5,281000,9506400,4604300
5 Nov 2022,3741590.2,328000,8858400,4721600
6 Nov 2022,4752029.0769,441538.4615,9517538.4615,5768153.8462
7 Nov 2022,4196203.1667,359666.6667,8943666.6667,4774166.6667
8 Nov 2022,4687919.35,430000,9617000,5125400
9 Nov 2022,4644987.3462,420307.6923,9643076.9231,4732500
10 Nov 2022,4790843.5577,451538.4615,9999230.7692,4984192.3077
11 Nov 2022,4757613.7879,361212.1212,9865818.1818,4768484.8485
12 Nov 2022,4877438.0714,478285.7143,9772571.4286,4873285.7143
13 Nov 2022,4086656.9286,284428.5714,9366571.4286,4062571.4286
14 Nov 2022,4667612.2368,345789.4737,9704526.3158,4713631.5789
15 Nov 2022,4429108.1923,357282.0513,9534410.2564,4517717.9487
16 Nov 2022,4501572.2174,353652.1739,9448782.6087,4552217.3913
17 Nov 2022,4904863.2308,375692.3077,9937692.3077,5243461.5385
18 Nov 2022,3942651.1111,387111.1111,8250222.2222,4148888.8889
19 Nov 2022,4381801.6667,509555.5556,9359777.7778,4414666.6667
20 Nov 2022,4876991.4375,380750,10007000,5205625
21 Nov 2022,4625840.2632,336210.5263,9837263.1579,4765789.4737
22 Nov 2022,4486412.1765,341647.0588,9840705.8824,4586352.9412
23 Nov 2022,4483725.8077,388000,9652153.8462,4473923.0769
24 Nov 2022,4704835.4167,220333.3333,9922000,4695166.6667
25 Nov 2022,4820323.5429,407657.1429,10010285.7143,4901542.8571
26 Nov 2022,0,0,0,0
27 Nov 2022,4493241.2222,265777.7778,9922000,4401222.2222
28 Nov 2022,4856531.5366,292487.8049,9908390.2439,4964634.1463
29 Nov 2022,4795861.8056,333555.5556,9829555.5556,5004166.6667
30 Nov 2022,4484910.0444,373955.5556,9528711.1111,4784044.4444
