category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Nov 2022,362742.0714,95.5714,642291.4286,412447.7143
2 Nov 2022,489212.0455,5257.6818,972833.5,533736
3 Nov 2022,1327384.7727,0,2224863.4545,1649088.1818
4 Nov 2022,193374.15,4264.85,461808.25,163069.3
5 Nov 2022,114237.8,9093.8,196146.2,155738.6
6 Nov 2022,125252.8462,6918.4615,213944.4615,172003.3077
7 Nov 2022,625195.75,1626.5,959418.8333,788778.5833
8 Nov 2022,1532243.95,200.7,2350784.3,1844143.6
9 Nov 2022,2089531.2692,2892.9615,3311742.1538,2465036.9231
10 Nov 2022,2403177.5577,163.3654,3834821.9038,2763176.9038
11 Nov 2022,2353443.1212,43.2727,3622094.303,2727502.2121
12 Nov 2022,2896856.4286,764.5714,4132038,3142736.1429
13 Nov 2022,111968.6429,6941.0714,201667.4286,136513.1071
14 Nov 2022,1986957.3158,2838.5263,3140499,2297979.7368
15 Nov 2022,1477618.5,1703.6026,2364046.7564,1699655.2179
16 Nov 2022,2011295.4565,122.2391,3162663.7391,2248890.3043
17 Nov 2022,1759571.6923,449.8077,2774191.6538,2017340.8077
18 Nov 2022,1165282.2222,0,1771906.6667,1342396
19 Nov 2022,200286.5,625.5556,410531.8889,224507.3333
20 Nov 2022,2585785.5,33.875,4158581.125,3187273.375
21 Nov 2022,924901.1579,1411.8421,1874681.5263,959926.6842
22 Nov 2022,287692.7647,961.7647,558551.4118,285295.4118
23 Nov 2022,75745.5385,2109.9231,138815.3846,88051.2308
24 Nov 2022,200538.4167,1948.25,441600.9167,204963.6667
25 Nov 2022,2643936.5714,112.5714,4193469.9429,3081259.1429
26 Nov 2022,0,0,0,0
27 Nov 2022,40182.1667,0,84145.3333,34304.8333
28 Nov 2022,861099.878,4422.2439,1432402.3415,947492.122
29 Nov 2022,2489152.4167,62.25,3795928.5278,2769677.2778
30 Nov 2022,820988.3111,10949.3778,1367689.7778,944859.5333
