category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Nov 2022,495515.3571,308285.7143,833428.5714,502285.7143
2 Nov 2022,401124.8182,285272.7273,601818.1818,381818.1818
3 Nov 2022,390444.2273,311090.9091,644181.8182,380363.6364
4 Nov 2022,398443.95,272600,722200,378800
5 Nov 2022,240525.2,230400,255200,235200
6 Nov 2022,250127.3077,230153.8462,315384.6154,235230.7692
7 Nov 2022,482088.6667,345333.3333,712333.3333,543333.3333
8 Nov 2022,421614.45,293200,761000,484200
9 Nov 2022,522727.2115,330692.3077,985538.4615,653423.0769
10 Nov 2022,464416.2308,324692.3077,838153.8462,469730.7692
11 Nov 2022,370807.0909,305939.3939,554666.6667,378727.2727
12 Nov 2022,291744.0714,288571.4286,298857.1429,289285.7143
13 Nov 2022,256166.5,233714.2857,304714.2857,244428.5714
14 Nov 2022,407988.0526,302000,787789.4737,469263.1579
15 Nov 2022,436986.6154,304307.6923,774410.2564,474076.9231
16 Nov 2022,672950.0652,326608.6957,1385130.4348,652826.087
17 Nov 2022,436261.6154,305076.9231,726307.6923,485615.3846
18 Nov 2022,826489.5556,447555.5556,1955111.1111,528222.2222
19 Nov 2022,539851.6667,282000,1038666.6667,587888.8889
20 Nov 2022,325255.3125,307250,421750,311875
21 Nov 2022,357017.2105,273684.2105,490947.3684,329263.1579
22 Nov 2022,285103.7647,237647.0588,367764.7059,295411.7647
23 Nov 2022,368583.7692,254769.2308,586769.2308,458692.3077
24 Nov 2022,279656.4167,236333.3333,368000,295500
25 Nov 2022,348242.7429,293714.2857,548800,364857.1429
26 Nov 2022,0,0,0,0
27 Nov 2022,277806.9444,230444.4444,382222.2222,275000
28 Nov 2022,273731.0732,243804.878,336487.8049,284390.2439
29 Nov 2022,341071.6667,292666.6667,439888.8889,330944.4444
30 Nov 2022,312418.0444,261422.2222,451200,307244.4444
