category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Nov 2022,1421.5714,1421.5714,1421.5714,1421.5714
2 Nov 2022,1384.9565,1384.9565,1384.9565,1384.9565
3 Nov 2022,1428,1428,1428,1428
4 Nov 2022,1410,1410,1410,1410
5 Nov 2022,1338,1338,1338,1338
6 Nov 2022,1338,1338,1338,1338
7 Nov 2022,1379.5385,1379.5385,1379.5385,1379.5385
8 Nov 2022,1426.5,1426.5,1426.5,1426.5
9 Nov 2022,1426.2692,1426.2692,1426.2692,1426.2692
10 Nov 2022,1428,1428,1428,1428
11 Nov 2022,1428,1428,1428,1428
12 Nov 2022,1408.7143,1408.7143,1408.7143,1408.7143
13 Nov 2022,1338,1338,1338,1338
14 Nov 2022,1410.7027,1410.7027,1410.7027,1410.7027
15 Nov 2022,1395.519,1395.519,1395.519,1395.519
16 Nov 2022,1426.0435,1426.0435,1426.0435,1426.0435
17 Nov 2022,1417.6154,1417.6154,1417.6154,1417.6154
18 Nov 2022,1428,1428,1428,1428
19 Nov 2022,1373,1373,1373,1373
20 Nov 2022,1428,1428,1428,1428
21 Nov 2022,1432.2105,1432.2105,1432.2105,1432.2105
22 Nov 2022,1439.1765,1439.1765,1439.1765,1439.1765
23 Nov 2022,1358.7692,1358.7692,1358.7692,1358.7692
24 Nov 2022,1383.7143,1383.7143,1383.7143,1383.7143
25 Nov 2022,1428,1428,1428,1428
26 Nov 2022,0,0,0,0
27 Nov 2022,1338,1338,1338,1338
28 Nov 2022,1368.4878,1368.4878,1368.4878,1368.4878
29 Nov 2022,1418.2703,1418.2703,1418.2703,1418.2703
30 Nov 2022,1378,1378,1378,1378
