category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Nov 2022,536,536,536,536
2 Nov 2022,536,536,536,536
3 Nov 2022,536,536,536,536
4 Nov 2022,536,536,536,536
5 Nov 2022,536,536,536,536
6 Nov 2022,536,536,536,536
7 Nov 2022,536,536,536,536
8 Nov 2022,536,536,536,536
9 Nov 2022,536,536,536,536
10 Nov 2022,536,536,536,536
11 Nov 2022,536,536,536,536
12 Nov 2022,536,536,536,536
13 Nov 2022,536,536,536,536
14 Nov 2022,536,536,536,536
15 Nov 2022,536,536,536,536
16 Nov 2022,536,536,536,536
17 Nov 2022,536,536,536,536
18 Nov 2022,536,536,536,536
19 Nov 2022,536,536,536,536
20 Nov 2022,536,536,536,536
21 Nov 2022,536,536,536,536
22 Nov 2022,536,536,536,536
23 Nov 2022,536,536,536,536
24 Nov 2022,536,536,536,536
25 Nov 2022,536,536,536,536
26 Nov 2022,0,0,0,0
27 Nov 2022,536,536,536,536
28 Nov 2022,536,536,536,536
29 Nov 2022,536,536,536,536
30 Nov 2022,536,536,536,536
