category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Nov 2022,354.5,43.8571,668.0714,418.3571
2 Nov 2022,190.6818,28.7727,390.1818,199.9545
3 Nov 2022,402.1818,39.7727,891.3636,396.3636
4 Nov 2022,167.65,26.6,356.1,156.15
5 Nov 2022,22.2,3.6,62.4,5.2
6 Nov 2022,18.3077,3.7692,52.3077,5.4615
7 Nov 2022,131.0833,15,311.8333,153.3333
8 Nov 2022,308.95,57.55,760.35,304.45
9 Nov 2022,334.4808,28.1154,955.7115,317.2885
10 Nov 2022,354.9423,39,1069.2692,320.4038
11 Nov 2022,394.303,51.6667,1085.0606,392.7576
12 Nov 2022,321.3571,104.1429,1063.7857,208.5714
13 Nov 2022,19.7857,4.4643,59.6786,9.5
14 Nov 2022,283.9211,29.4474,803.8947,261.0789
15 Nov 2022,198.859,23.4103,634.8974,166.6923
16 Nov 2022,353.3913,44.8261,971.8696,343.0217
17 Nov 2022,359.8077,65.2308,933.9231,337.5769
18 Nov 2022,213.1111,39.8889,671.8889,182.7778
19 Nov 2022,152.7778,28.5,287.2778,188
20 Nov 2022,370.3125,53.0625,1101.1875,336.25
21 Nov 2022,194.1579,23.4737,458.1053,223.7368
22 Nov 2022,158.2941,31.8824,354.0588,183.2941
23 Nov 2022,138.6923,45.8077,259.9231,145.2692
24 Nov 2022,152.3333,20,327.5,132.9167
25 Nov 2022,341.5429,69.8,970.0857,316.9714
26 Nov 2022,0,0,0,0
27 Nov 2022,142.8889,34.8889,301.3889,147.1111
28 Nov 2022,210.8049,53.561,504.9024,209.9024
29 Nov 2022,264.3611,44.5,931.1111,184.3333
30 Nov 2022,170.1556,16.2222,459.0222,151.7778
