category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Nov 2022,3.8571,0,35.7857,3.7857
2 Nov 2022,8.0455,0.0455,67.0909,3.7273
3 Nov 2022,13.2273,0,145.0909,8.4091
4 Nov 2022,3.8,0,44.3,0.05
5 Nov 2022,7.6,0.6,30.6,1.2
6 Nov 2022,6,0.0769,28.3077,0.4615
7 Nov 2022,10.1667,0.0833,124.0833,0.9167
8 Nov 2022,14.95,0,150,13.45
9 Nov 2022,26.5577,0,314.3077,14.6154
10 Nov 2022,33.0769,0,395.5769,9.6346
11 Nov 2022,31.1212,0,392.1515,8.9697
12 Nov 2022,24.8571,0,238.1429,4.2857
13 Nov 2022,5.1071,0,30.5,1.8929
14 Nov 2022,22.6053,0,264.9211,5.1579
15 Nov 2022,16.3205,0,204.1795,3.1795
16 Nov 2022,23.3913,0,306.9783,7.1304
17 Nov 2022,22.9231,0,258.1154,7.7692
18 Nov 2022,20.2222,0,298.4444,0
19 Nov 2022,3.4444,0,23.3333,5.0556
20 Nov 2022,33,0,412,13.5
21 Nov 2022,9.4737,0,63.5263,13.3158
22 Nov 2022,3.8235,0,34,4.4706
23 Nov 2022,0.8462,0,10.5385,0.1154
24 Nov 2022,3.9167,0,18.6667,1.1667
25 Nov 2022,33.4,0,332.9429,16.6571
26 Nov 2022,0,0,0,0
27 Nov 2022,0.2778,0,5.3333,0.0556
28 Nov 2022,9.4634,0,111.3902,1.878
29 Nov 2022,27.2778,0,377.5833,1.0278
30 Nov 2022,18.7333,0.0444,153.3778,8.0222
