category,Average Retransmits,Minimum Retransmits,Maximum Retransmits,Median Retransmits
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,0.1304,0,0.6957,0.1304
8 Oct 2022,0.2069,0,0.6897,0.1724
9 Oct 2022,0.2353,0,1.1765,0.4706
10 Oct 2022,0,0,0.4242,0.0909
11 Oct 2022,0.0536,0,0.25,0.0536
12 Oct 2022,0.2353,0,0.8529,0.3529
13 Oct 2022,0.1111,0,0.2778,0.1111
14 Oct 2022,0.0556,0,0.3333,0.0556
15 Oct 2022,0,0,0,0
16 Oct 2022,0,0,0,0
17 Oct 2022,0,0,0,0
18 Oct 2022,0,0,0,0
19 Oct 2022,0,0,0,0
20 Oct 2022,0,0,0,0
21 Oct 2022,0,0,0,0
22 Oct 2022,0,0,0,0
23 Oct 2022,0,0,0,0
24 Oct 2022,0,0,0.0714,0
25 Oct 2022,0,0,0,0
26 Oct 2022,0,0,0,0
27 Oct 2022,0.0909,0,0.2727,0
28 Oct 2022,0,0,0.1111,0
29 Oct 2022,0,0,0,0
30 Oct 2022,0,0,0,0
31 Oct 2022,0,0,0,0
