category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,1381.0435,1381.0435,1381.0435,1381.0435
8 Oct 2022,1384.5517,1384.5517,1384.5517,1384.5517
9 Oct 2022,1338,1338,1338,1338
10 Oct 2022,1408.9091,1408.9091,1408.9091,1408.9091
11 Oct 2022,1407.6429,1407.6429,1407.6429,1407.6429
12 Oct 2022,1388.6471,1388.6471,1388.6471,1388.6471
13 Oct 2022,1413,1413,1413,1413
14 Oct 2022,1423,1423,1423,1423
15 Oct 2022,1428,1428,1428,1428
16 Oct 2022,0,0,0,0
17 Oct 2022,1414.1538,1414.1538,1414.1538,1414.1538
18 Oct 2022,1428,1428,1428,1428
19 Oct 2022,1401.3333,1401.3333,1401.3333,1401.3333
20 Oct 2022,1428,1428,1428,1428
21 Oct 2022,1433.4545,1433.4545,1433.4545,1433.4545
22 Oct 2022,1338,1338,1338,1338
23 Oct 2022,1338,1338,1338,1338
24 Oct 2022,1422.6429,1422.6429,1422.6429,1422.6429
25 Oct 2022,1399.875,1399.875,1399.875,1399.875
26 Oct 2022,1383,1383,1383,1383
27 Oct 2022,1403.4545,1403.4545,1403.4545,1403.4545
28 Oct 2022,1423,1423,1423,1423
29 Oct 2022,1392,1392,1392,1392
30 Oct 2022,1338,1338,1338,1338
31 Oct 2022,1430.2222,1430.2222,1430.2222,1430.2222
