category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,54.4783,0.3478,237.3478,60.6522
8 Oct 2022,72.1333,0.4333,336.6,66.0333
9 Oct 2022,4,0.8571,10.5,5.1429
10 Oct 2022,62.5238,1.2619,211.8333,67.119
11 Oct 2022,65.6545,0.3636,285.4909,70.9636
12 Oct 2022,63.2,0.8286,153.2571,72.8857
13 Oct 2022,126.7368,0.5789,365.0526,132.9474
14 Oct 2022,104.8824,0.7647,263.4706,157.2353
15 Oct 2022,101.5556,4.7778,225.5556,118.2222
16 Oct 2022,0,0,0,0
17 Oct 2022,63.9231,0,392.6923,44.1538
18 Oct 2022,40.6944,0,207.3056,46.3889
19 Oct 2022,58.75,0,328.8214,15.7857
20 Oct 2022,67.4865,0,421.9189,24.1622
21 Oct 2022,14.3333,0,133.5833,6.5
22 Oct 2022,13,0,91.5,6.5
23 Oct 2022,3.9286,0,32.7857,0.6429
24 Oct 2022,56.8571,0,337.1786,62.7143
25 Oct 2022,87.8125,0,474.375,68.8125
26 Oct 2022,61,0,320.5,0
27 Oct 2022,50.9,0,366.4,64.7
28 Oct 2022,48.8889,0,364,6.3889
29 Oct 2022,38.4,0,411.2,3
30 Oct 2022,3.8,0,48.2,4.6
31 Oct 2022,51,0,309.2222,56.8889
