category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,0.3261,0,1.6957,0.413
8 Oct 2022,0.4828,0,1.7931,0.931
9 Oct 2022,0.8824,0,3.1765,1.2353
10 Oct 2022,0.0909,0,1.1818,0.1818
11 Oct 2022,0.1429,0,0.9107,0.2321
12 Oct 2022,0.6471,0,2.1765,0.9118
13 Oct 2022,0.2222,0,0.9444,0.2778
14 Oct 2022,0.4444,0,1.8889,0.7222
15 Oct 2022,0.125,0,1.125,0.25
16 Oct 2022,0,0,0,0
17 Oct 2022,0,0,0.0769,0
18 Oct 2022,0,0,0.0286,0
19 Oct 2022,0,0,0.037,0
20 Oct 2022,0,0,0.0278,0
21 Oct 2022,0,0,0.0909,0.0909
22 Oct 2022,0,0,0,0
23 Oct 2022,0,0,0,0
24 Oct 2022,0,0,0.3929,0
25 Oct 2022,0,0,0.0625,0
26 Oct 2022,0,0,0,0
27 Oct 2022,0.2727,0,1,0
28 Oct 2022,0,0,0.1667,0
29 Oct 2022,0,0,0,0
30 Oct 2022,0,0,0,0
31 Oct 2022,0,0,0.1111,0
