category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,11.913,0.2174,83.5435,7.9565
8 Oct 2022,14.2333,0.2,114.0667,5.9333
9 Oct 2022,1.5714,0.3571,3.2143,2
10 Oct 2022,10.7143,0.5,42.619,13.1905
11 Oct 2022,12.4909,0.1636,82.4182,14.3455
12 Oct 2022,12.8857,0.3143,49.7143,16.8286
13 Oct 2022,20.8421,0.0526,88.2105,20.2105
14 Oct 2022,17.2941,0.5294,57.5882,16.8824
15 Oct 2022,30.6667,0.7778,96.3333,54.3333
16 Oct 2022,0,0,0,0
17 Oct 2022,15.4615,0,165.9231,3.2308
18 Oct 2022,8.25,0,81.9167,11.5556
19 Oct 2022,14.5,0,168.2143,1.2143
20 Oct 2022,15.1622,0,141.0541,2.5405
21 Oct 2022,4.4167,0,47.75,0.25
22 Oct 2022,0.5,0,6.5,0.5
23 Oct 2022,0.2857,0,3.2857,0.2857
24 Oct 2022,9.5357,0,82.2857,6.3214
25 Oct 2022,20.625,0,179.625,9.3125
26 Oct 2022,21,0,231.5,0
27 Oct 2022,15,0,122.9,23.8
28 Oct 2022,14.3333,0,131.7222,0.2778
29 Oct 2022,14.2,0,124.8,0.2
30 Oct 2022,0.2,0,3.8,0.2
31 Oct 2022,14.1111,0,115.7778,14.4444
