category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,0.1957,0,1.1087,0.2609
8 Oct 2022,0.2069,0,1.2069,0.3103
9 Oct 2022,0.5294,0,1.8235,0.9412
10 Oct 2022,0.0606,0,1.0606,0.1515
11 Oct 2022,0.0357,0,0.6071,0.0893
12 Oct 2022,0.4118,0,1.5588,0.5882
13 Oct 2022,0.1111,0,0.7222,0.1111
14 Oct 2022,0.1111,0,1.0556,0.3333
15 Oct 2022,0.125,0,1.125,0.25
16 Oct 2022,0,0,0,0
17 Oct 2022,0,0,0.0769,0
18 Oct 2022,0,0,0.0286,0
19 Oct 2022,0,0,0.037,0
20 Oct 2022,0,0,0.0278,0
21 Oct 2022,0,0,0.0909,0.0909
22 Oct 2022,0,0,0,0
23 Oct 2022,0,0,0,0
24 Oct 2022,0,0,0.25,0
25 Oct 2022,0,0,0.0625,0
26 Oct 2022,0,0,0,0
27 Oct 2022,0,0,0.0909,0
28 Oct 2022,0,0,0.0556,0
29 Oct 2022,0,0,0,0
30 Oct 2022,0,0,0,0
31 Oct 2022,0,0,0.1111,0
