category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,343981.8043,90908.3478,439666.4348,367357.2609
8 Oct 2022,526765.6207,88391.4483,585785.2414,578034.4828
9 Oct 2022,154565,64978.3529,182296.4706,155372.7059
10 Oct 2022,512372.3939,103125.8182,605445.2121,540480.4848
11 Oct 2022,765349.8036,80459.2143,881300.2143,843767.2143
12 Oct 2022,139993.8529,69318.1176,163780.9412,148511.1765
13 Oct 2022,147105.1667,69169.5556,217403.1111,133858.5556
14 Oct 2022,101015.5,65197.7778,134971.5556,103437.5556
15 Oct 2022,667439,64076,799599,710655.5
16 Oct 2022,0,0,0,0
17 Oct 2022,231167.8462,86360.9231,280230.1538,241432
18 Oct 2022,889485.3143,134795.7714,1021220.1143,1004132.5714
19 Oct 2022,831161.2222,96067.4074,932983.2593,914005.1111
20 Oct 2022,581048.25,107893.6667,677978,597771.1667
21 Oct 2022,807236.6364,90899.6364,935702.5455,892944.3636
22 Oct 2022,266849.5,68016,270392,270392
23 Oct 2022,465518.9286,131890.5714,510635.1429,510388.2857
24 Oct 2022,795441.6429,80284.2857,916636,874159.8571
25 Oct 2022,1617168.75,84347,1821697.75,1799604.75
26 Oct 2022,1498788.5,659196,1547950,1547950
27 Oct 2022,1079170.3636,123803.6364,1196970.9091,1196552
28 Oct 2022,1092638.2778,77433.7778,1247962.8889,1197554.2222
29 Oct 2022,1367335.8,156824,1517984.8,1517984.8
30 Oct 2022,501092.8,150300,525157.6,524927.2
31 Oct 2022,1185183,103729.3333,1368077.7778,1339537.3333
