category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,131336.5217,84582.6957,245620.0435,139306.6739
8 Oct 2022,103422.0345,79261.7931,129037.069,108873.6552
9 Oct 2022,106676.0588,52527.2941,213536.3529,123075.4118
10 Oct 2022,159454.1818,105439.1818,248757.5758,159931.8485
11 Oct 2022,153526.6786,110014.4107,228872.1071,148176.75
12 Oct 2022,174572.5294,113027.2647,324820,172544.7353
13 Oct 2022,169248.2222,117580.1667,240833.5,160675
14 Oct 2022,187596.1111,135990.9444,262903.3333,191253.6111
15 Oct 2022,205004.875,149223.25,317991.125,191045
16 Oct 2022,0,0,0,0
17 Oct 2022,82418.0769,69154.6923,92956,83989.4615
18 Oct 2022,91898.7143,68474.4857,137360.1429,85637.6286
19 Oct 2022,112690.5556,85060.2593,175003.1111,105014.7037
20 Oct 2022,75012.9444,67014.0556,87920.9722,75981.6944
21 Oct 2022,92982.1818,50980.4545,153697.6364,89759.7273
22 Oct 2022,53989.5,38523,67312,49799
23 Oct 2022,93237.3571,42780.8571,134937.0714,100587.7143
24 Oct 2022,147103.3214,92027.75,230491.5,148078.7143
25 Oct 2022,113778.5,87746.0625,177214.4375,108681.125
26 Oct 2022,76343,67787,82256,78111
27 Oct 2022,119894.9091,89031.0909,157651.8182,124639.6364
28 Oct 2022,168787.8333,106814,284537.1111,168871.2778
29 Oct 2022,81482.6,71702.4,89560,80823.4
30 Oct 2022,62278,38219.8,87196.4,62942.6
31 Oct 2022,152310.3333,113931.7778,201835.5556,183503.8889
