category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,22380.3261,5769.6304,60648.7826,19793.4783
8 Oct 2022,18105.6333,6524.7667,43489.5667,25550.8667
9 Oct 2022,20906.1429,7148.3571,67549.7857,16906.7857
10 Oct 2022,16249.8333,4408.7381,46465.4524,20096.8095
11 Oct 2022,20087.6364,3710.9636,73245.8545,15563.9091
12 Oct 2022,24761.6571,9239.0571,54513.9714,31033.1714
13 Oct 2022,14054.1579,3109.7895,48394.7368,11527.2105
14 Oct 2022,59275.2941,9476.2353,155785.8235,54724.1176
15 Oct 2022,37719.7778,4410.3333,115017,17503.4444
16 Oct 2022,0,0,0,0
17 Oct 2022,4267.3077,909.9231,13256.6923,4061.3077
18 Oct 2022,24207.0833,4832.1111,89166.6667,21154.3611
19 Oct 2022,7804.0357,1232.9286,39828.9286,6008.0357
20 Oct 2022,6507.8378,1545.4324,19614.2973,5724.3243
21 Oct 2022,13253.4167,3360.0833,36128.5833,20632.6667
22 Oct 2022,6976,2886.5,17013,13201
23 Oct 2022,10191.8571,2382.2143,34371,13278.6429
24 Oct 2022,13935.7857,2155.1429,53023.1429,15466.8214
25 Oct 2022,7625.875,1068.75,61790.9375,2716.375
26 Oct 2022,2995.5,738.5,17119.5,1398.5
27 Oct 2022,12305.9,924.8,72693,12584.5
28 Oct 2022,14838.7222,834.3889,120458.2222,3856.5
29 Oct 2022,4993.4,1858,16483.8,4968
30 Oct 2022,10489.6,2795.8,28232.6,16294.4
31 Oct 2022,8655.2222,833.1111,38991.2222,7897.3333
