category,Average Reordering,Minimum Reordering,Maximum Reordering,Median Reordering
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,3.4783,3,4.2609,3
8 Oct 2022,3.2333,3,3.5,3.3333
9 Oct 2022,3,3,3,3
10 Oct 2022,4,3,5.3571,5.3571
11 Oct 2022,8.7818,3,13.8,13.8
12 Oct 2022,7.2571,3,11.4857,7.2571
13 Oct 2022,3,3,3,3
14 Oct 2022,3,3,3,3
15 Oct 2022,7.5556,3,16.7778,3
16 Oct 2022,0,0,0,0
17 Oct 2022,3.0769,3.0769,3.0769,3.0769
18 Oct 2022,8.5833,3.0278,11.5,11.4444
19 Oct 2022,3,3,3,3
20 Oct 2022,3,3,3,3
21 Oct 2022,3,3,3,3
22 Oct 2022,3,3,3,3
23 Oct 2022,3,3,3,3
24 Oct 2022,3,3,3,3
25 Oct 2022,3,3,3,3
26 Oct 2022,3,3,3,3
27 Oct 2022,3,3,3,3
28 Oct 2022,3,3,3,3
29 Oct 2022,3,3,3,3
30 Oct 2022,3,3,3,3
31 Oct 2022,3,3,3,3
