category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,1051967.087,27001.8696,2202483.7826,987373.8913
8 Oct 2022,2410269.2069,26272.2414,4632956.1724,2564881.931
9 Oct 2022,310017.4706,13482.7647,656811.1176,291949.6471
10 Oct 2022,951244.2121,33691.9091,1798626.7879,995595.4242
11 Oct 2022,1598795.4643,22112.2143,2830536,1677498.5536
12 Oct 2022,221128.6471,9477.4706,450977.8824,220280.0294
13 Oct 2022,436598,13348.3889,1178417,405247
14 Oct 2022,120376.4444,4989.8889,321756.2222,98914.0556
15 Oct 2022,2325397.875,6375.5,4981295,2338970.75
16 Oct 2022,0,0,0,0
17 Oct 2022,1371919.9231,43254.6923,2681028.2308,1429409.3077
18 Oct 2022,2970924.1143,117741.3429,5139697.0857,3289213.0857
19 Oct 2022,2921891.2222,30649.8889,5654149.2593,3011783.2593
20 Oct 2022,2451289.6667,38676.3333,4604791.3333,2603906.8333
21 Oct 2022,1937330.5455,35314.2727,3006438.4545,2247264.6364
22 Oct 2022,1296878.5,31944,2218905,1337832
23 Oct 2022,1476737.1429,83228.1429,2419008.8571,1657877.1429
24 Oct 2022,1999779.6786,20085.7143,3767591.75,2135513.3214
25 Oct 2022,4023900.4375,28212.625,7429452.5625,4365241.5
26 Oct 2022,3896041,427035,6048375,4477239
27 Oct 2022,2684951.9091,113737.3636,5031543.4545,2754833.6364
28 Oct 2022,2270736.3889,22319.4444,4294003.6667,2331171
29 Oct 2022,6237964.6,69246.6,11624866.2,6714202.2
30 Oct 2022,2078979.8,100048.2,3382629,2354761.2
31 Oct 2022,1871838.7778,42987,3179590.3333,2112641.2222
