category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,2101.7174,48.8261,4428.587,2211.7174
8 Oct 2022,3008.1667,65.5333,6088.2667,3199.4
9 Oct 2022,124.5,28.3571,229.4286,128.9286
10 Oct 2022,1221.7619,39.0238,2728.5,1285.5
11 Oct 2022,1563.3636,42.1636,3553.8364,1605.9818
12 Oct 2022,467.0571,43.6,1006.5714,480.6286
13 Oct 2022,1973,50.4211,4233.3684,2010.8947
14 Oct 2022,421.1765,25.0588,1040.5882,368.6471
15 Oct 2022,637.6667,33.7778,1497.3333,608.2222
16 Oct 2022,0,0,0,0
17 Oct 2022,4073.1538,168.5385,8540.4615,4289.4615
18 Oct 2022,2450.4167,196.1389,5253.0556,2466.3611
19 Oct 2022,3767.4643,50.1429,8263.0714,3734.1786
20 Oct 2022,3942.4324,196.3514,8447.5946,4022.5405
21 Oct 2022,1929.3333,186.1667,3770.5833,1977.5833
22 Oct 2022,1083.5,33,2465,1092.5
23 Oct 2022,1067.3571,102.1429,2326.1429,1065.3571
24 Oct 2022,2221.5357,58.9643,4945,2232.9286
25 Oct 2022,2788.5625,39.375,6206.8125,2938.0625
26 Oct 2022,3787,12,9468.5,3277
27 Oct 2022,2568.6,76.9,5749.1,2470.3
28 Oct 2022,2784.6111,31.3333,6493.7222,2808.5
29 Oct 2022,3965.8,39.2,8186.6,4049
30 Oct 2022,844.4,26.6,1903.4,812
31 Oct 2022,2734.2222,64.4444,6214.7778,2668
