category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,772.913,28.8478,1603.1739,727.587
8 Oct 2022,1719.6897,28.3793,3294.8621,1826.1034
9 Oct 2022,259.6471,21.2353,531.6471,246.8235
10 Oct 2022,700.8485,34.5152,1311.5152,730.5758
11 Oct 2022,1151.4107,25.2321,2026.2679,1204.5357
12 Oct 2022,189.5882,17.3235,374.4118,188.5588
13 Oct 2022,334.5,19.4444,873.6111,312.7778
14 Oct 2022,114.1667,14.9444,272.7222,100.1111
15 Oct 2022,1660.25,12.125,3529.75,1667.25
16 Oct 2022,0,0,0,0
17 Oct 2022,996.3077,38.5385,1935.6154,1036.6923
18 Oct 2022,2107.6857,92.4,3632.9143,2326.4571
19 Oct 2022,2073.1111,30.4074,3995.4444,2131.6296
20 Oct 2022,1741.9444,35.4722,3260.8056,1846.8611
21 Oct 2022,1381.9091,33.2727,2143.8182,1598.2727
22 Oct 2022,983.5,32.5,1679,1014.5
23 Oct 2022,1123.1429,71.0714,1835.7857,1258.6429
24 Oct 2022,1432.25,23.7143,2685.0714,1523.25
25 Oct 2022,2872.875,27.5625,5290.875,3104.0625
26 Oct 2022,2799.5,313,4347,3210.5
27 Oct 2022,1916.1818,92,3580.6364,1962.9091
28 Oct 2022,1623.2778,25.3333,3052,1661.1111
29 Oct 2022,4453.6,57.2,8255.6,4800.8
30 Oct 2022,1569.8,83.4,2549.6,1775.8
31 Oct 2022,1332.1111,38.7778,2256.2222,1498.7778
