category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Oct 2022,0,0,0,0
2 Oct 2022,0,0,0,0
3 Oct 2022,0,0,0,0
4 Oct 2022,0,0,0,0
5 Oct 2022,0,0,0,0
6 Oct 2022,0,0,0,0
7 Oct 2022,4050.1739,112.9565,7952.1739,4349.087
8 Oct 2022,5898.6,203.3333,11090.3,6333
9 Oct 2022,220.7143,51.3571,413.6429,226.5714
10 Oct 2022,2745.3571,92.3095,5784.6905,2948.9524
11 Oct 2022,4767.9273,97.0727,10109.4727,5114.6909
12 Oct 2022,1537.4857,100.2571,3256.4571,1599.7714
13 Oct 2022,3726,139.1579,7734.7895,3827.6842
14 Oct 2022,1394.2941,52.1765,3485.3529,1235.2353
15 Oct 2022,2232.5556,111.1111,4930.5556,2207.6667
16 Oct 2022,0,0,0,0
17 Oct 2022,8866.5385,458.7692,17262.5385,9661.7692
18 Oct 2022,6702.1667,515.4444,13806.4167,6939.6944
19 Oct 2022,9132,118.9286,18624.2857,9490.6786
20 Oct 2022,8432.5135,454.6216,16785.8919,8871.5676
21 Oct 2022,4927.5833,513.3333,9525.8333,5039.75
22 Oct 2022,2693.5,57,6417,2748
23 Oct 2022,2292.3571,169.0714,5210.4286,2259.1429
24 Oct 2022,6099.2143,123.75,12889.7857,6363.2857
25 Oct 2022,8757.625,120.8125,18128.875,9346.8125
26 Oct 2022,8570.5,24,20285,7724
27 Oct 2022,7476.1,165.2,16056.5,7482.4
28 Oct 2022,8210.2222,78.8889,17409.1111,8748.7778
29 Oct 2022,8287.4,65.4,16671,8455.4
30 Oct 2022,1757.6,49.6,4102.6,1676
31 Oct 2022,7156.8889,134.3333,15649.7778,7120
